term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge40=0,3.1460019856792453e-7,0.001384174628402738,0.4355868247205683,8867,0.0013845206886211627,2.499494744057286e-4,1447070.8312337045,144058223.13455692,8862.239649324863,0.3626582342974033,0.5085154151437333,0.03720914791581719,"1.55 	(1.44, 1.66)",1.4371446085627961,1.6628207630931882,W2
h_htn at w_ge40=1,8.941603363046997e-7,0.0011956664808735222,0.24976312479124063,8867,0.0011966500572434574,8.219415224872729e-4,135195.54575514735,13321731.262150723,8851.828520345258,0.18196280950440352,0.31756344007807774,0.03459263010011609,"1.28 	(1.20, 1.37)",1.199569580463076,1.3737763945826629,W2
Interaction of h_htn:w_ge40,1.3988772339215193e-6,0.0023467522038190655,-0.1858236999293277,8867,0.0023482909687763793,6.552701423177867e-4,212084.60686482175,20960505.40599428,8855.44885182368,-0.28080192952633704,-0.09084547033231842,0.04845916805699804,"0.83 	(0.76, 0.91)",0.7551778991118262,0.9131588101244459,W2
w_htn at h_ge40=0,7.910827470321816e-8,0.001536850825606908,0.44161477208556826,8867,0.0015369378447090815,5.661849141987348e-5,28104017.898197837,2807539804.789512,8864.026874429479,0.36477673823834544,0.5184528059327911,0.0392037988555839,"1.56 	(1.44, 1.68)",1.4401924323531947,1.6794272386873763,H2
w_htn at h_ge40=1,9.085231012905887e-8,6.145778349884216e-4,0.2453599482941497,8867,6.146777725295635e-4,1.6258525297034094e-4,3414681.928244064,340471063.4926399,8863.328617043286,0.19676715697736358,0.2939527396109358,0.024792695951218448,"1.28 	(1.22, 1.34)",1.2174605305106392,1.3417204919360874,H2
Interaction of w_htn:h_ge40,5.604756329133916e-8,0.0019027232681221961,-0.19625482379141856,8867,0.0019027849204418165,3.240109744308765e-5,85778080.01701836,8572807442.054598,8864.026874429479,-0.28175026179005674,-0.11075938579278041,0.043620922966413914,"0.82 	(0.75, 0.90)",0.7544620790165429,0.8951541098150201,H2
h_htn at w_education_2=0,4.6461444552869415e-7,0.0016075044048541836,0.3735806575761784,8865,0.0016080154807442651,3.1783020512029755e-4,896051.9733131123,89094762.21342131,8859.302718483585,0.2949859667876018,0.45217534836475504,0.040100068338398936,"1.45 	(1.34, 1.57)",1.3431075104410588,1.5717275242672903,W3 E2
h_htn at w_education_2=1,1.023421129153889e-6,0.0035387407810643762,0.323293883657246,8865,0.0035398665443064454,3.18024204579115e-4,894962.2131685095,88986097.12721626,8859.299923650246,0.20668234078680167,0.43990542652769027,0.05949677759598788,"1.38 	(1.23, 1.55)",1.2295919185353394,1.552560380541799,W3 E2
Interaction of h_htn:w_education_2,7.514593772600795e-7,0.005108549193493625,-0.05028677391893245,8865,0.0051093757988086115,1.6178205470398805e-4,3448622.003831718,343860124.22945696,8861.338437928689,-0.1903847998463134,0.08981125200844849,0.07147989786512438,"0.95 	(0.83, 1.09)",0.8266409814121618,1.0939677799959469,W3 E2
w_htn at h_education_2=0,3.6203431884283925e-7,0.0024183468247023104,0.30697053135215446,8865,0.0024187450624530375,1.6464643459498758e-4,3329844.7565119406,331999820.0912384,8861.304894457488,0.21057805434840535,0.40336300835590355,0.049180738734315874,"1.36 	(1.23, 1.50)",1.2343913990783608,1.4968501621681531,H3 E2
w_htn at h_education_2=1,1.5815111325618131e-7,0.002465792353179505,0.32937950749953265,8865,0.0024659663194040865,7.054687779508655e-5,18106654.921812702,1808368417.757301,8862.027113969114,0.23205064188459734,0.42670837311446796,0.04965849695071415,"1.39 	(1.26, 1.53)",1.2611835959252615,1.5322057641685163,H3 E2
