iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,3.747041650489351e-5,0.014671885207236446,-4.463222296436361,8867,0.014713102665391829,0.0028014117139503547,12053.594811783774,1146802.4942411915,8772.542714831712,-4.700961433556809,-4.225483159315913,0.12129757897580573,"0.01 (0.01, 0.01)",0.009086536799365014,0.014618270049696484,W0
factor(state)10,Conditional,9.039072303291178e-7,0.008358891464236094,0.12073294716740096,8867,0.008359885762189457,1.1893678713399342e-4,6375868.796962487,636224082.6271197,8863.822809951218,-0.05847128554864586,0.29993717988344776,0.09143241089564169,"1.13 (0.94, 1.35)",0.9432053236342071,1.3497740119518455,W0
factor(state)11,Conditional,5.822558466576264e-7,0.013495842746340832,0.3502521888466811,8867,0.013496483227772155,4.7455431204882285e-5,39998302.04821931,3996415746.4365473,8864.026874429479,0.12255461623098501,0.5779497614623771,0.11617436562242187,"1.42 (1.13, 1.78)",1.1303808555300234,1.7823803771522824,W0
factor(state)12,Conditional,5.460835696047315e-7,0.00867637963373466,0.19047330977982624,8867,0.008676980325661224,6.922822272498691e-5,18802567.405541003,1877915925.4790378,8864.026874429479,0.007902056149996367,0.3730445634096561,0.09315031038950554,"1.21 (1.01, 1.45)",1.007933359795759,1.452149051103933,W0
factor(state)13,Conditional,4.281072678963814e-7,0.013787661374817831,0.14069099714299918,8867,0.013788132292812517,3.4153863966876777e-5,77202216.77737154,7715477707.967762,8864.026874429479,-0.089453614859412,0.37083560914541036,0.11742287806391273,"1.15 (0.91, 1.45)",0.91443068013624,1.4489448605232982,W0
factor(state)14,Conditional,3.6567660588833107e-6,0.011807077409347139,-0.07263213265022987,8867,0.011811099852011911,3.405646142333186e-4,780731.4799259645,77596738.33397985,8860.96959860808,-0.2856388347139049,0.14037456941344517,0.1086788841128391,"0.93 (0.75, 1.15)",0.7515339949278909,1.150704736942441,W0
factor(state)15,Conditional,4.963103741793664e-7,0.023220993846428773,-0.270056257238141,8867,0.02322153978784037,2.3510129672071858e-5,162898177.9693873,16282926421.129892,8864.026874429479,-0.5687276299228372,0.02861511544655526,0.15238615353056317,"0.76 (0.57, 1.03)",0.5662454543116351,1.0290284610874825,W0
factor(state)16,Conditional,1.4847977763865098e-06,0.012812696160137787,0.019607557766034546,8867,0.012814329437691813,1.2745712227602569e-4,5552775.1972344965,554005775.0508287,8863.728952844956,-0.20226114003695314,0.24147625556902216,0.11320039504211905,"1.02 (0.82, 1.27)",0.8168815796006689,1.2731272248771135,W0
factor(state)17,Conditional,3.189001631952055e-7,0.01900169782388872,0.03630344115723996,8867,0.019002048614068234,1.8460650566645605e-5,264175663.14869905,26408790163.822063,8864.026874429479,-0.23387351431169343,0.3064803966261733,0.137847918424865,"1.04 (0.79, 1.36)",0.7914619181701861,1.3586348333896585,W0
factor(state)18,Conditional,6.926374400347734e-7,0.007564479878993926,-0.07851194724961026,8867,0.007565241780177964,1.0071075137803828e-4,8889508.853253027,887341589.2380421,8864.019328346654,-0.24898647568840765,0.09196258118918706,0.08697839835371748,"0.92 (0.78, 1.10)",0.7795905167384672,1.0963237981804952,W0
factor(state)19,Conditional,7.511310031533599e-7,0.009080909156987593,-0.08062793092695342,8867,0.009081735401091062,9.09786584807825e-5,10891165.776927939,1087335211.3135974,8864.026874429479,-0.2674088524403681,0.10615299058646124,0.09529813954685087,"0.92 (0.77, 1.11)",0.7653600881479377,1.1119919877998394,W0
factor(state)2,Conditional,2.441911631496232e-6,0.01334783093868361,-0.1288638885155782,8867,0.013350517041478256,2.0119840949234374e-4,2231335.264323292,222327622.08124775,8862.863729299881,-0.35532682589875364,0.09759904886759718,0.11554443751855065,"0.88 (0.70, 1.10)",0.7009443190117138,1.1025206395761196,W0
factor(state)20,Conditional,5.904820223631703e-7,0.010613486515738178,0.028626846438501614,8867,0.010614136045962777,6.119482751933865e-5,24059761.948313408,2403328183.2656884,8864.026874429479,-0.17329830449342204,0.23055199737042525,0.10302492924512385,"1.03 (0.84, 1.26)",0.8408867371353631,1.2592949456090643,W0
factor(state)21,Conditional,4.018231639992128e-7,0.007803789985147745,0.04058686518789595,8867,0.007804231990628144,5.66366403420509e-5,28086018.37649957,2805740769.4945683,8864.026874429479,-0.13255941933766785,0.21373314971345972,0.08834156434333809,"1.04 (0.88, 1.24)",0.8758508900802233,1.23829217207977,W0
factor(state)22,Conditional,5.960616530320085e-7,0.007456357094752138,0.0792752519649442,8867,0.007457012762570473,8.792633715557665e-5,11659813.957600879,1164138215.3940837,8864.026874429479,-0.0899754718514448,0.2485259757813332,0.0863539967955767,"1.08 (0.91, 1.28)",0.9139536025860362,1.282134126372466,W0
factor(state)23,Conditional,1.2787305745899744e-6,0.0068986045201859724,-0.04679902560785445,8867,0.006900011123818021,2.0385527020290486e-4,2173655.728569398,216570162.41535252,8862.830785540138,-0.20960599379641928,0.11600794258071037,0.08306630558666986,"0.95 (0.81, 1.12)",0.8109036841177976,1.1230047916540284,W0
factor(state)24,Conditional,4.81906866630889e-7,0.00825548311212184,-0.31223506389362826,8867,0.008256013209675134,6.42074497498093e-5,21856139.41673922,2183090140.964466,8864.026874429479,-0.49032249973131226,-0.13414762805594424,0.09086260622321558,"0.73 (0.61, 0.87)",0.6124288541919062,0.8744609601023062,W0
factor(state)25,Conditional,4.3327325847177467e-7,0.035610203217403213,-0.2830603435263577,8867,0.03561067981798753,1.3383641838766962e-5,502572261.9705305,50245121139.354485,8864.026874429479,-0.6529210742133463,0.08680038716063082,0.18870792197994107,"0.75 (0.52, 1.09)",0.5205230673606468,1.0906789444666796,W0
factor(state)27,Conditional,4.454316862116538e-7,0.008500964256672627,-0.11848966235382895,8867,0.00850145423152746,5.7634240153379636e-5,27122629.60692988,2709451402.5822225,8864.026874429479,-0.2992048702794667,0.062225545571808746,0.09220333091340822,"0.89 (0.74, 1.06)",0.741407501512799,1.0642023437878034,W0
factor(state)28,Conditional,6.463373002084968e-7,0.010583664260146449,-0.20204708897825494,8867,0.010584375231176679,6.71717522008436e-5,19970737.267928448,1994661269.7272189,8864.026874429479,-0.40368895378485836,-4.052241716515359e-4,0.10288039284128282,"0.82 (0.67, 1.00)",0.6678518217464603,0.9995948579205741,W0
factor(state)29,Conditional,6.339880891257502e-7,0.007986662388428496,-0.2537773580588707,8867,0.007987359775326535,8.731131658706523e-5,11824525.060152775,1180596347.4291427,8864.026874429479,-0.4289433185817392,-0.07861139753600224,0.08937203016227468,"0.78 (0.65, 0.92)",0.6511968388953707,0.9243990784160978,W0
factor(state)3,Conditional,3.6332248731708814e-6,0.007685652822329442,0.3134779139639114,8867,0.0076896493696899295,5.197307664301374e-4,336309.4536447158,33318516.51819783,8858.03764484666,0.14160740007218386,0.4853484278556389,0.087690645850569085,"1.37 (1.15, 1.62)",1.1521242358423935,1.624741015260218,W0
factor(state)30,Conditional,6.261274655356767e-7,0.043112437656660126,-0.43966769337663947,8867,0.04311312639687222,1.597518597350461e-5,352756916.7184523,35265550215.82842,8864.026874429479,-0.8466287476512886,-0.03270663910199034,0.20763700632804408,"0.64 (0.43, 0.97)",0.4288582871321907,0.967822439207286,W0
factor(state)31,Conditional,5.939966098279593e-7,0.05847419845396728,-0.13257178609263792,8867,0.05847485185023809,1.1173970521279652e-5,720966047.1955513,72082106010.65695,8864.026874429479,-0.606521926335705,0.3413783541504291,0.2418157394592794,"0.88 (0.55, 1.41)",0.545243973692952,1.4068854411215586,W0
factor(state)32,Conditional,6.699822041296005e-6,0.013561962243824962,-0.3617497931442699,8867,0.013569332048070388,5.43122109424216e-4,308093.7939902619,30510374.933548007,8857.613655397781,-0.5900610596703196,-0.13343852661822023,0.11648747592797429,"0.70 (0.55, 0.88)",0.5542934387265755,0.875081261528673,W0
factor(state)33,Conditional,1.0388602007705933e-6,0.00981832232575834,-0.21527824375915594,8867,0.009819465071979188,1.1637560829139173e-4,6659288.778711855,664536104.5899272,8863.850775395025,-0.4094973747752848,-0.02105911274302716,0.09909321405615618,"0.81 (0.66, 0.98)",0.6639839013361568,0.9791610819612564,W0
factor(state)34,Conditional,8.747472153271904e-7,0.10346830565333695,-0.7882653896630639,8867,0.10346926787527382,9.299591623860837e-6,1040848327.7496202,104067411926.18123,8864.026874429479,-1.4187199334324618,-0.15781084589366612,0.32166639220669885,"0.45 (0.24, 0.85)",0.24202362504621586,0.85401130643696,W0
factor(state)35,Conditional,1.0751405368097618e-6,0.02706850914520941,-0.3202420294092616,8867,0.027069691799799903,4.368925214359035e-5,47188345.763853,4715125841.59322,8864.026874429479,-0.6427123480297501,0.0022282892112268082,0.16452869597671982,"0.73 (0.53, 1.00)",0.5258641613240032,1.0022307736926697,W0
factor(state)36,Conditional,2.2416652666192934e-6,0.008294783351009761,-0.2021799877504807,8867,0.008297249182803043,2.9718666258594825e-4,1024481.1590881061,101902274.96270116,8861.595430017289,-0.3807116146907644,-0.023648360810197028,0.09108923746965414,"0.82 (0.68, 0.98)",0.6833749364982075,0.9766290704399028,W0
factor(state)37,Conditional,5.745407397407222e-7,0.055111545040720536,0.09122589095253457,8867,0.05511217703553425,1.1467426033765788e-5,684542243.7251137,68440096672.07739,8864.026874429479,-0.36889491775784894,0.551346699662918,0.23475982841094054,"1.10 (0.69, 1.74)",0.6914980708003082,1.7355887615419099,W0
factor(state)4,Conditional,9.682072659555638e-7,0.08967646812357587,0.07204593009146207,8867,0.08967753315156841,1.1876196357353675e-5,638234983.3312826,63809856873.112564,8864.026874429479,-0.5148889476899243,0.6589808078728485,0.2994620729768102,"1.07 (0.60, 1.93)",0.5975669521240504,1.9328214138311088,W0
factor(state)5,Conditional,5.002327621224698e-7,0.011947367485132554,0.13864933168080606,8867,0.01194791774117089,4.6054555300344074e-5,42467556.266569525,4243237330.3078914,8864.026874429479,-0.07558753261181006,0.3528861959734222,0.10930653110025443,"1.15 (0.93, 1.42)",0.9271985668695922,1.4231691718350103,W0
factor(state)6,Conditional,1.1291319129992508e-6,0.008439224784879386,0.1928032587203479,8867,0.008440466829983685,1.4715360291292997e-4,4167257.07544508,415624088.0682084,8863.507134429356,0.012737420917439901,0.3728690965232559,0.09187201331190954,"1.21 (1.01, 1.45)",1.0128188873866992,1.451894269384878,W0
factor(state)7,Conditional,7.717852715171658e-7,0.012116283694358587,-0.07053597440738835,8867,0.012117132658157255,7.006309352380985e-5,18357410.65269984,1833428134.626404,8864.026874429479,-0.28628459246242255,0.1452126436476458,0.1100778481719063,"0.93 (0.75, 1.16)",0.7510488426896593,1.1562854208774251,W0
factor(state)8,Conditional,3.886982019435532e-7,0.00768050497320295,-0.1621313009671583,8867,0.007680932541225088,5.566616030580482e-5,29073346.72829416,2904423737.716581,8864.026874429479,-0.3339043666271674,0.009641764692850774,0.08764092960041608,"0.85 (0.72, 1.01)",0.7161222641400584,1.0096883962557375,W0
factor(state)9,Conditional,1.3468707656882075e-7,0.006062634584707454,0.10387005112817535,8867,0.00606278274049168,2.4436927821313893e-5,150778808.51803228,15071250811.574562,8864.026874429479,-0.04874033593690835,0.25648043819325905,0.07786387314083265,"1.11 (0.95, 1.29)",0.9524284090228292,1.2923734843920667,W0
h_htn,Conditional,2.7907633230586944e-7,7.340622292201216e-4,0.3135350323696089,8867,7.34369213185658e-4,4.180240130230608e-4,518921.5860090115,51503892.05532224,8859.770561107493,0.2604214820812869,0.3666485826579309,0.02709924746530165,"1.37 (1.30, 1.44)",1.297476834672133,1.4428907731700535,W0
hh_children,Conditional,3.858856711999996e-9,8.70468180694268e-5,-0.02941260058404936,8867,8.705106281181e-5,4.8761522790094204e-5,37885156.84137894,3785192663.4880342,8864.026874429479,-0.047699291736444466,-0.01112590943165426,0.009330115905593564,"0.97 (0.95, 0.99)",0.9534204453816533,0.9889357545973451,W0
hh_high,Conditional,4.7214427423127074e-7,0.0017719964218650803,0.03523696770712988,8867,0.0017725157805667346,2.9300653192962877e-4,1053841.7757035051,104830559.87215962,8861.654006767298,-0.047279979263240714,0.11775391467750049,0.04210125628252362,"1.04 (0.95, 1.12)",0.9538203102949233,1.1249672393757697,W0
hh_highest,Conditional,1.0780693285405072e-6,0.0020618474406897676,0.044638215770609814,8867,0.002063033316951162,5.748216723649893e-4,275206.1989266548,27238064.35795344,8857.023899329983,-0.04438458039482104,0.13366101193604066,0.045420626558328785,"1.05 (0.96, 1.14)",0.9565860025009255,1.1430052888142446,W0
hh_low,Conditional,3.284387667818928e-7,0.0016206392229087183,0.11888776021227768,8867,0.0016210005055521783,2.2287632991022086e-4,1819094.079363469,181181818.43902412,8862.59133871512,0.03997637463579268,0.19779914578876268,0.04026165055672927,"1.13 (1.04, 1.22)",1.040786184949243,1.2187175846778004,W0
hh_medium,Conditional,2.7197701792370696e-7,0.001607178126819187,0.04351646566704035,8867,0.0016074773015389032,1.8611442875719964e-4,2606970.5036264937,259825889.11791807,8863.048429792168,-0.035065071074064404,0.12209800240814508,0.04009335732436114,"1.04 (0.97, 1.13)",0.9655425853202686,1.129864825828428,W0
nmembers,Conditional,2.279359473242985e-9,1.5454166752957513e-5,7.274817276076299e-4,8867,1.545667404837808e-5,1.6221442030281945e-4,3430289.277836463,342029520.6162084,8863.332955648693,-0.006978112167866846,0.008433075623082105,0.003931497685154867,"1.00 (0.99, 1.01)",0.9930461783234156,1.0084687341719123,W0
