iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,0,0.00161188394086785,-3.3545636874704314,8917,0.00161188394086785,0,Inf,Inf,8914.020883072566,-3.433252859423007,-3.275874515517856,0.04014827444446212,"0.03 (0.03, 0.04)",0.032281761766435074,0.03778381224687614,W0
h_dm,Conditional,0,0.007565862519474461,1.2985359968567438,8917,0.007565862519474461,0,Inf,Inf,8914.020883072566,1.128054474950133,1.4690175187633547,0.08698196663374806,"3.66 (3.09, 4.34)",3.0896396776951534,4.344964197547373,W0
(Intercept),Conditional,0,7.667613083621817e-4,-2.7452305589182244,8917,7.667613083621817e-4,0,Inf,Inf,8914.020883072566,-2.7995028537966875,-2.6909582640397613,0.02769045518517494,"0.06 (0.06, 0.07)",0.06084030163295642,0.06781592266513747,H0
w_dm,Conditional,0,0.006039985985990396,1.2207398787643182,8917,0.006039985985990396,0,Inf,Inf,8914.020883072566,1.0684166781586597,1.3730630793699767,0.07771734675084062,"3.39 (2.91, 3.95)",2.9107671683051826,3.947423467489495,H0
(Intercept),Conditional,5.7691038111384105e-5,0.09088974991734444,-6.359127474339635,8867,0.09095321005926696,6.977229487686097e-4,187203.40792521514,18487427.943207238,8854.572423393605,-6.950222269446029,-5.768032679233242,0.3015844990367823,"0.00 (0.00, 0.00)",9.58422102067775e-4,0.0031259011191492017,W1
factor(state)10,Conditional,2.874052227604382e-6,0.03309614988475952,-0.2974085275333271,8867,0.033099311342209885,9.551429688910696e-5,9882164.673444714,986519657.1788622,8864.026874429479,-0.6539890118933577,0.05917195682670351,0.18193216137398546,"0.74 (0.52, 1.06)",0.5199674778839695,1.0609576639684126,W1
factor(state)11,Conditional,1.245385532216954e-6,0.19131013098188873,0.03661184833111259,8867,0.19131150090597418,7.160699063836941e-6,1755446669.5846841,175522042739.98,8864.026874429479,-0.8206601345690765,0.8938838312313018,0.4373917019171422,"1.04 (0.44, 2.44)",0.4401410062895667,2.4446056736060617,W1
factor(state)12,Conditional,1.150140957048757e-6,0.042293924376905295,-0.4000827190700812,8867,0.04229518953195805,2.9912504631234417e-5,100640029.4734522,10058586423.111849,8864.026874429479,-0.803164880594964,0.0029994424548016596,0.20565794303152515,"0.67 (0.45, 1.00)",0.4479091395706451,1.0030039452831876,W1
factor(state)13,Conditional,8.350175552904584e-7,0.14898670152571378,-1.111159062305663,8867,0.1489876200450246,6.1650713699696955e-6,2368178779.2427225,236791600127.20953,8864.026874429479,-1.8676838849004247,-0.35463423971090147,0.3859891449834109,"0.33 (0.15, 0.70)",0.15448104366445078,0.7014299515172855,W1
factor(state)14,Conditional,7.382782533048847e-6,0.14391446104959218,-1.119834915720206,8867,0.14392258211037853,5.642659176393491e-5,28295401.634084936,2826668447.6106772,8864.026874429479,-1.8633889978275282,-0.376280833612884,0.37937129847997003,"0.33 (0.16, 0.69)",0.15514594912675694,0.6864095391012748,W1
factor(state)15,Conditional,9.807585926916891e-7,0.09500181466777774,-0.3854305050882058,8867,0.09500289350222971,1.1355806251685776e-5,698064139.5990163,69792147401.03368,8864.026874429479,-0.9895411764459159,0.2186801662695041,0.3082253939931454,"0.68 (0.37, 1.24)",0.37174721827800444,1.2444332013188286,W1
