term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge40=0,9.246765969700987e-8,0.0013880373612802017,0.435627954020783,8862,0.0013881390757058685,7.327394455414282e-5,16784792.706439555,1676267660.2592323,8859.027473262036,0.3626041284265208,0.5086517796150453,0.03725773846740927,"1.55 	(1.44, 1.66)",1.4370668527057089,1.6630475282284365,W2
h_htn at w_ge40=1,1.193960435184968e-6,0.0011989843227915033,0.24864962594782697,8862,0.0012002976792702068,0.0010941923002817093,76659.67760247918,7517184.346084799,8839.898537561085,0.18074605025169937,0.31655320164395456,0.034645312515118216,"1.28 	(1.20, 1.37)",1.1981108806999694,1.372389253658476,W2
Interaction of h_htn:w_ge40,9.377050743058726e-7,0.002357306589419879,-0.18697832807295603,8862,0.002358338065001616,4.373739274465526e-4,474186.4068066089,47047519.23192535,8854.4587989232,-0.2821595185893298,-0.09179713755658227,0.048562722998217636,"0.83 	(0.75, 0.91)",0.7541533734551454,0.9122902001936598,W2
w_htn at h_ge40=0,6.363235667501627e-8,0.0015473558840004816,0.4408229475096269,8862,0.0015474258795928242,4.5233567090745516e-5,44022466.06021421,4398664465.9053135,8859.027473262036,0.3637231887693844,0.5179227062498695,0.039337334424091625,"1.55 	(1.44, 1.68)",1.4386759173829315,1.6785372107632601,H2
w_htn at h_ge40=1,1.2335045513676508e-7,6.124328646305607e-4,0.24355998897901604,8862,6.125685501312112e-4,2.2150255774864376e-4,1841682.8625811124,183436188.72834542,8857.610434605589,0.19505064048581358,0.29206933747221847,0.02475012222457116,"1.28 	(1.22, 1.34)",1.215372531986835,1.339195870876644,H2
Interaction of w_htn:h_ge40,5.236276254034425e-8,0.001903853572004462,-0.19726295853061088,8862,0.0019039111710432565,3.0253007425140025e-5,98387939.67112036,9833438398.584064,8859.027473262036,-0.2827836949845415,-0.11174222207668026,0.04363383057953148,"0.82 	(0.75, 0.89)",0.7536827955981387,0.8942747520793423,H2
h_htn at w_education_2=0,6.206074586713803e-7,0.0015990415827126091,0.36826689649742367,8860,0.0015997242509171476,4.267411737661249e-4,498015.6480423986,49421214.5959784,8852.634580437216,0.2898750912154346,0.4466587017794127,0.03999655298794069,"1.45 	(1.34, 1.56)",1.3362605669174563,1.5630807315664228,W3 E2
h_htn at w_education_2=1,6.981055137548262e-7,0.0035427165789590175,0.3259431879781831,8860,0.003543484495024148,2.1671212790930406e-4,1923838.1398237594,191635549.52341074,8855.67179236966,0.20927206926686157,0.44261430668950463,0.0595271744249981,"1.39 	(1.23, 1.56)",1.2327803545554175,1.5567717820724145,W3 E2
Interaction of h_htn:w_education_2,1.175997653498302e-6,0.005104540870158967,-0.04232370851924058,8860,0.005105834467577815,2.533567092827843e-4,1408497.2429992498,140209580.6167354,8855.197141281304,-0.1823731754625874,0.09772575842410625,0.0714551220527809,"0.96 	(0.83, 1.10)",0.8332903188863231,1.1026603483284325,W3 E2
w_htn at h_education_2=0,3.168897188059326e-7,0.0024199555321902434,0.3058480318371888,8860,0.0024203041108809297,1.4402268257093196e-4,4350166.276504471,433891075.83012336,8856.544141309489,0.20942449411232805,0.4022715695620495,0.0491965863742692,"1.36 	(1.23, 1.50)",1.232968275231981,1.4952173330611824,H3 E2
w_htn at h_education_2=1,7.909118567092672e-8,0.0024593160706316147,0.327714275786074,8860,0.002459403070935853,3.537456111450411e-5,71967576.52989806,7192177361.872395,8857.027712779629,0.23051501846551298,0.424913533106635,0.049592369079686574,"1.39 	(1.26, 1.53)",1.2592483791220084,1.5294581664495142,H3 E2
Interaction of w_htn:h_education_2,3.416420236169976e-7,0.004698817316561689,0.021866243948885172,8860,0.004699193122787668,7.997250084409398e-5,14092436.912141502,1407217265.902416,8857.027712779629,-0.11249058283238011,0.15622307073015043,0.06855066099453504,"1.02 	(0.89, 1.17)",0.8936057623041417,1.1690869630872915,H3 E2
h_htn at w_education_3=0,6.206074586713803e-7,0.0015990415827126091,0.36826689649742367,8860,0.0015997242509171476,4.267411737661249e-4,498015.6480423986,49421214.5959784,8852.634580437216,0.2898750912154346,0.4466587017794127,0.03999655298794069,"1.45 	(1.34, 1.56)",1.3362605669174563,1.5630807315664228,W3 E3
h_htn at w_education_3=1,2.02850485706627e-7,0.0015402445145491486,0.2342427790311199,8860,0.001540467650083426,1.4484921787562727e-4,4300726.181747135,428953484.7927229,8856.534739254492,0.1573165606410145,0.3111689974212253,0.039248791702209455,"1.26 	(1.17, 1.37)",1.1703660470916248,1.3650198865354335,W3 E3
Interaction of h_htn:w_education_3,3.611575840605851e-7,0.0029431823075300495,-0.1340241174663038,8860,0.0029435795808725163,1.3496266418212025e-4,4953014.8208745895,494100421.12171316,8856.646421225712,-0.2403615041219715,-0.027686730810636107,0.05425476551301753,"0.87 	(0.79, 0.97)",0.7863435432464485,0.9726930338355674,W3 E3
