iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,1.0511455880620866e-5,0.017120693179096886,-4.5358087945348515,8863,0.01713225578056557,6.749024539897016e-4,199995.60485657596,19758796.797618855,8851.053714144075,-4.792348972966299,-4.279268616103404,0.13089024325963172,"0.01 	(0.01, 0.01)",0.00829295455901887,0.013852790089893404,W1
casteOBC,Conditional,2.5588809249732736e-7,0.0010655625527317431,-0.04309329709494949,8863,0.0010658440296334901,2.640882661263779e-4,1296600.864597383,129045926.19156341,8858.052508625464,-0.10708076482047485,0.020894170630575852,0.03264726680188543,"0.96 	(0.90, 1.02)",0.8984531066560774,1.0211139820703297,W1
casteSchedule Caste,Conditional,1.9153532083654752e-7,0.0015128473256202657,0.015536313654214717,8863,0.001513058014473186,1.3924704202010363e-4,4653271.655819689,464163036.64434856,8859.597699991065,-0.060702456576114006,0.09177508388454342,0.03889804640946876,"1.02 	(0.94, 1.10)",0.9411032171946985,1.096118259692878,W1
casteSchedule Tribe,Conditional,3.564508998002361e-7,0.0027151792942366085,0.015444158193132617,8863,0.002715571390226389,1.4438802499961963e-4,4328208.25837679,431698120.13635343,8859.539430423016,-0.08669180867802109,0.11758012506428632,0.05211114458756772,"1.02 	(0.92, 1.12)",0.9169596510974178,1.1247717487419728,W1
factor(state)10,Conditional,7.185904829582657e-7,0.009219662632651901,0.23561460322224112,8863,0.009220453082183156,8.572784050943134e-5,12265030.808212508,1224612650.6572263,8860.027353499932,0.0474126082982643,0.42381659814621797,0.0960231903353724,"1.27 	(1.05, 1.53)",1.0485545621495518,1.5277813701526162,W1
factor(state)11,Conditional,1.1620117819884713e-6,0.014824547888602725,0.454368385955229,8863,0.014825826101562913,8.621529427305043e-5,12126838.369766265,1210804091.018371,8860.027353499932,0.21572052703797345,0.6930162448724845,0.1217613489641229,"1.58 	(1.24, 2.00)",1.2407555729063546,1.9997381457684844,W1
factor(state)12,Conditional,1.289147235867225e-6,0.011661556433305034,0.27735108176318835,8863,0.011662974495264489,1.2158664670232475e-4,6101276.50242666,608794538.087165,8859.794358811789,0.06568427655152462,0.48901788697485205,0.10799525218853137,"1.32 	(1.07, 1.63)",1.0678895061786051,1.6307138878989857,W1
factor(state)13,Conditional,1.3909328764376265e-6,0.018120636724377685,0.2363623681338732,8863,0.018122166750541766,8.442843425638653e-5,12645173.448167797,1262597830.9734166,8860.027353499932,-0.02748523456023813,0.5002099708279846,0.13461859734279571,"1.27 	(0.97, 1.65)",0.9728890475820278,1.6490674904172011,W1
factor(state)14,Conditional,3.2108113856024445e-6,0.013071460612133805,0.006486035688085525,8863,0.013074992504657969,2.7012577811455355e-4,1239422.9664702157,123341847.02379656,8857.970898519921,-0.21762787792125066,0.23059994929742172,0.11434593348544568,"1.01 	(0.80, 1.26)",0.8044247301799661,1.2593553326761897,W1
factor(state)15,Conditional,1.6903778624359874e-6,0.028675959628092336,-0.22167293182769834,8863,0.028677819043741015,6.483811219547419e-5,21433273.086605705,2140828049.1741858,8860.027353499932,-0.5535835539060178,0.110237690250621,0.1693452657848486,"0.80 	(0.57, 1.12)",0.5748859797666682,1.1165434304086885,W1
