term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_dm at w_ge40=0,1.0437798863805333e-6,0.014736188454261098,1.0448210483344729,8862,0.014737336612136116,7.790809867727966e-5,14848620.774044916,1482781975.3643262,8859.027473262036,0.8068864526686625,1.2827556440002832,0.1213974324775286,"2.84 	(2.24, 3.61)",2.240919903272988,3.6065644524769604,W2
h_dm at w_ge40=1,1.9196325784988787e-6,0.010888343799867717,0.5290984849210515,8862,0.010890455395704065,1.938941724311844e-4,2402300.9042339735,239393854.10531378,8857.955003707328,0.3245618467257455,0.7336351231163574,0.10435734471374818,"1.70 	(1.38, 2.08)",1.3834243612540649,2.082637507969379,W2
Interaction of h_dm:w_ge40,1.8053147401437855e-6,0.021796530209958444,-0.5157225634134215,8862,0.0217985160561726,9.11000642906534e-5,10862180.300111849,1084439036.6239808,8859.027473262036,-0.8050979285863236,-0.22634719824051952,0.14764320524891283,"0.60 	(0.45, 0.80)",0.44704414601446457,0.797441183419891,W2
w_dm at h_ge40=0,8.65895262236991e-7,0.024129439796497787,1.3522612623618235,8862,0.02413039228128625,3.947241210825102e-5,57804771.60837949,5776372299.575757,8859.027473262036,1.047801234912237,1.65672128981141,0.15533960306787914,"3.87 	(2.85, 5.24)",2.8513747172458968,5.242095326165991,H2
w_dm at h_ge40=1,4.680369532531231e-6,0.006286955515496466,0.5911372838671652,8862,0.00629210392198225,8.182329074060196e-4,136414.82232516955,13442765.595337242,8846.9249785136,0.43566747179925047,0.74660709593508,0.07932278312050234,"1.81 	(1.55, 2.11)",1.5459946224555479,2.109829410119713,H2
Interaction of w_dm:h_ge40,6.00125937928143e-6,0.028692915178047482,-0.7611239784946583,8862,0.028699516563364693,0.00023001730020903307,1708117.577508398,170106733.90061426,8857.501486980867,-1.0931601401109727,-0.42908781687834385,0.16940931663685058,"0.47 	(0.34, 0.65)",0.33515567952254394,0.6511027488594846,H2
h_dm at w_education_2=0,3.335804338675378e-7,0.021471890338220966,0.8118605530623824,8860,0.02147225727669822,1.7088956811843656e-5,308279740.1655872,30818493481.284786,8857.027712779629,0.5246588954726933,1.0990622106520713,0.14653415054757107,"2.25 	(1.69, 3.00)",1.6898823235458889,3.0013500696421165,W3 E2
h_dm at w_education_2=1,4.336975121666333e-6,0.04673155212785734,0.4988516430012684,8860,0.04673632280049117,1.0207633694670624e-4,8653463.195924936,863758543.0470415,8857.00566378042,0.07513515763409151,0.9225681283684453,0.2161858524522157,"1.65 	(1.08, 2.52)",1.0780298450019041,2.515742851599965,W3 E2
Interaction of h_dm:w_education_2,5.539200716702992e-6,0.06410984867880781,-0.31300891006111403,8860,0.06411594179959619,9.503285169573329e-5,9982459.78339265,996540575.6700096,8857.027712779629,-0.8092938592298978,0.1832760391076697,0.25321125922753945,"0.73 	(0.45, 1.20)",0.4451723095773744,1.2011459255723056,W3 E2
w_dm at h_education_2=0,5.889259035343659e-7,0.06259501540715823,0.33687701812866916,8860,0.06259566322565212,1.0349255212017984e-5,840437099.7717853,84028055947.851,8857.027712779629,-0.15348882758482202,0.8272428638421603,0.25019125329565806,"1.40 	(0.86, 2.29)",0.8577103468413945,2.2870044569134103,H3 E2
w_dm at h_education_2=1,8.285322279264786e-6,0.02872882868882118,0.8733685089098182,8860,0.02873794254332837,3.1713663890343757e-4,899964.3212839522,89484882.30188918,8854.315280372002,0.5411101367683884,1.205626881051248,0.16952269034948794,"2.39 	(1.72, 3.34)",1.7179129222953293,3.3388514848826043,H3 E2
Interaction of w_dm:h_education_2,8.807332018056625e-6,0.09151664598470781,0.5364914907811491,8860,0.09152633404992767,1.0585003016265727e-4,8047993.275548616,803268131.3480874,8856.96539791133,-0.05646267635275126,1.1294456579150496,0.30253319495540926,"1.71 	(0.95, 3.09)",0.9451017584815135,3.093940922998375,H3 E2
