variable,estimate,lci,uci,type,group,est_ci,n
w_sbp,117.3,117.1,117.5,Continuous,NA,"117.3 (117.1, 117.5)",52645
w_dbp,78.8,78.7,78.9,Continuous,NA,"78.8 (78.7, 78.9)",52645
w_weight,540.1,537,543.2,Continuous,NA,"540.1 (537, 543.2)",52637
w_height,1528,1525.3,1530.7,Continuous,NA,"1528 (1525.3, 1530.7)",52637
w_glucose,113.9,113.5,114.3,Continuous,NA,"113.9 (113.5, 114.3)",52632
w_bmi,2302.7,2295.1,2310.3,Continuous,NA,"2302.7 (2295.1, 2310.3)",52556
w_waistcircumference,79.5,79.3,79.7,Continuous,NA,"79.5 (79.3, 79.7)",52533
w_hipcircumference,92.1,91.9,92.3,Continuous,NA,"92.1 (91.9, 92.3)",52536
w_age,33.5,33.4,33.6,Continuous,NA,"33.5 (33.4, 33.6)",52647
w_eduyr,6.8,6.7,6.9,Continuous,NA,"6.8 (6.7, 6.9)",52647
h_sbp,125.3,125.1,125.5,Continuous,NA,"125.3 (125.1, 125.5)",52638
h_dbp,82.8,82.7,83,Continuous,NA,"82.8 (82.7, 83)",52638
h_weight,635.1,630.6,639.5,Continuous,NA,"635.1 (630.6, 639.5)",52624
h_height,1645.9,1641.6,1650.2,Continuous,NA,"1645.9 (1641.6, 1650.2)",52627
h_glucose,121.2,120.6,121.7,Continuous,NA,"121.2 (120.6, 121.7)",52578
h_bmi,2329.3,2323.1,2335.5,Continuous,NA,"2329.3 (2323.1, 2335.5)",52486
h_waistcircumference,83.8,83.5,84,Continuous,NA,"83.8 (83.5, 84)",52545
h_hipcircumference,91.8,91.6,92,Continuous,NA,"91.8 (91.6, 92)",52545
h_age,38.4,38.3,38.5,Continuous,NA,"38.4 (38.3, 38.5)",52647
h_eduyr,7.9,7.8,8,Continuous,NA,"7.9 (7.8, 8)",52647
nmembers,5.5,5.4,5.5,Continuous,NA,"5.5 (5.4, 5.5)",52647
hh_children,2.3,2.3,2.3,Continuous,NA,"2.3 (2.3, 2.3)",52647
w_diagnosed_bp,10.6,10.2,11.1,Proportion,NA,"10.6 (10.2, 11.1)",52647
w_treated_bp,5.9,5.6,6.2,Proportion,NA,"5.9 (5.6, 6.2)",52647
w_diagnosed_dm,3.5,3.2,3.8,Proportion,NA,"3.5 (3.2, 3.8)",52647
w_treated_dm,2.3,2.1,2.5,Proportion,NA,"2.3 (2.1, 2.5)",52647
w_tobacco_any,5.3,5,5.6,Proportion,NA,"5.3 (5, 5.6)",52647
w_alcohol,1,0.9,1.2,Proportion,NA,"1 (0.9, 1.2)",52647
w_dm,4.4,4.1,4.6,Proportion,NA,"4.4 (4.1, 4.6)",52647
w_htn,20.1,19.6,20.7,Proportion,NA,"20.1 (19.6, 20.7)",52647
h_treated_bp,5.3,4.9,5.6,Proportion,NA,"5.3 (4.9, 5.6)",52647
h_diagnosed_dm,5.7,5.3,6,Proportion,NA,"5.7 (5.3, 6)",52647
h_treated_dm,4.2,3.9,4.5,Proportion,NA,"4.2 (3.9, 4.5)",52647
h_tobacco_any,51.9,51,52.7,Proportion,NA,"51.9 (51, 52.7)",52647
h_alcohol,29,28.3,29.8,Proportion,NA,"29 (28.3, 29.8)",52647
h_dm,7.3,7,7.7,Proportion,NA,"7.3 (7, 7.7)",52647
h_htn,28.6,28,29.3,Proportion,NA,"28.6 (28, 29.3)",52647
h_diagnosed_bp,8.9,8.5,9.3,Proportion,NA,"8.9 (8.5, 9.3)",52647
rural,69.2,67.7,70.7,Proportion,NA,"69.2 (67.7, 70.7)",52647
w_education,12.2,11.6,12.8,Grouped,Higher,"12.2 (11.6, 12.8)",52647
w_education,27,26.3,27.7,Grouped,No education,"27 (26.3, 27.7)",52647
w_education,14.1,13.7,14.6,Grouped,Primary,"14.1 (13.7, 14.6)",52647
w_education,46.7,46,47.4,Grouped,Secondary,"46.7 (46, 47.4)",52647
w_bmi_category,13.9,13.4,14.3,Grouped,Underweight,"13.9 (13.4, 14.3)",52556
w_bmi_category,58.3,57.6,59,Grouped,Normal,"58.3 (57.6, 59)",52556
w_bmi_category,20.4,19.9,20.9,Grouped,Overweight,"20.4 (19.9, 20.9)",52556
w_bmi_category,7.3,6.8,7.7,Grouped,Obese,"7.3 (6.8, 7.7)",52556
w_bmi_category,0.2,0.1,0.2,Grouped,NA,"0.2 (0.1, 0.2)",52556
h_bmi_category,9,8.7,9.4,Grouped,Underweight,"9 (8.7, 9.4)",52486
h_bmi_category,61.8,61.1,62.5,Grouped,Normal,"61.8 (61.1, 62.5)",52486
h_bmi_category,23.9,23.3,24.5,Grouped,Overweight,"23.9 (23.3, 24.5)",52486
h_bmi_category,5,4.6,5.3,Grouped,Obese,"5 (4.6, 5.3)",52486
h_bmi_category,0.3,0.2,0.4,Grouped,NA,"0.3 (0.2, 0.4)",52486
h_education,15.3,14.7,16,Grouped,Higher,"15.3 (14.7, 16)",52647
h_education,15.8,15.2,16.3,Grouped,No education,"15.8 (15.2, 16.3)",52647
h_education,15.8,15.3,16.3,Grouped,Primary,"15.8 (15.3, 16.3)",52647
h_education,53.1,52.4,53.8,Grouped,Secondary,"53.1 (52.4, 53.8)",52647
caste,24.9,24.1,25.8,Grouped,General,"24.9 (24.1, 25.8)",52647
caste,43.2,42.2,44.1,Grouped,OBC,"43.2 (42.2, 44.1)",52647
caste,21.7,20.8,22.5,Grouped,Schedule Caste,"21.7 (20.8, 22.5)",52647
caste,10.2,9.6,10.8,Grouped,Schedule Tribe,"10.2 (9.6, 10.8)",52647
religion,82.6,81.7,83.5,Grouped,Hindu,"82.6 (81.7, 83.5)",52647
religion,12.4,11.6,13.3,Grouped,Muslim,"12.4 (11.6, 13.3)",52647
religion,5,4.6,5.3,Grouped,Other,"5 (4.6, 5.3)",52647
wealthq,18.3,17.6,19,Grouped,Lowest,"18.3 (17.6, 19)",52647
wealthq,20.2,19.5,20.8,Grouped,Low,"20.2 (19.5, 20.8)",52647
wealthq,21.1,20.5,21.8,Grouped,Medium,"21.1 (20.5, 21.8)",52647
wealthq,21,20.3,21.6,Grouped,High,"21 (20.3, 21.6)",52647
wealthq,19.4,18.5,20.3,Grouped,Highest,"19.4 (18.5, 20.3)",52647
swealthq_ur,18.3,17.6,19,Grouped,Lowest,"18.3 (17.6, 19)",52647
swealthq_ur,20.1,19.5,20.7,Grouped,Low,"20.1 (19.5, 20.7)",52647
swealthq_ur,20.6,20.1,21.2,Grouped,Medium,"20.6 (20.1, 21.2)",52647
swealthq_ur,20.5,19.9,21.1,Grouped,High,"20.5 (19.9, 21.1)",52647
swealthq_ur,20.5,19.7,21.3,Grouped,Highest,"20.5 (19.7, 21.3)",52647
