term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge40=0,1.0556660134065715e-7,0.0013838646306170356,0.4361947750497768,8867,0.0013839807538785103,8.390525746062253e-5,12803238.210606962,1278392342.9645977,8864.026874429479,0.36328040688598684,0.5091091432135667,0.03720189180510193,"1.55 	(1.44, 1.66)",1.4380390387601973,1.663808319596336,W2
h_htn at w_ge40=1,1.2288237805600066e-6,0.0011970151875875367,0.2496158032304228,8867,0.0011983668937461528,0.0011279568600151399,72182.28931193922,7073877.417122043,8843.93060381391,0.18176686329949363,0.3174647431613519,0.0346174362676694,"1.28 	(1.20, 1.37)",1.199334552383441,1.3736408137790606,W2
Interaction of h_htn:w_ge40,9.92671969629291e-7,0.002349013773296926,-0.186578971819354,8867,0.002350105712463518,4.646340633960613e-4,420382.8874173992,41688898.26217484,8858.998734866751,-0.2815938908737931,-0.09156405276491493,0.04847788890271026,"0.83 	(0.75, 0.91)",0.7545800641676076,0.9125028659485258,W2
w_htn at h_ge40=0,5.989338038038219e-8,0.0015378187671432962,0.4417927487908917,8867,0.0015378846498617146,4.283983094853345e-5,49077433.12871703,4903961056.344325,8864.026874429479,0.36493105120140573,0.5186544463803776,0.03921587242254996,"1.56 	(1.44, 1.68)",1.4404146898629746,1.679765913291576,H2
w_htn at h_ge40=1,4.804146749879078e-8,6.146320400709039e-4,0.24537593083288528,8867,6.146848856851526e-4,8.597187840362467e-5,12195552.667188436,1217670200.619223,8864.026874429479,0.1967828584793406,0.29396900318643,0.024792839403447776,"1.28 	(1.22, 1.34)",1.2174796466196414,1.3417423132860462,H2
Interaction of w_htn:h_ge40,8.168805006207534e-8,0.001903447785628082,-0.19641681795800645,8867,0.0019035376424831503,4.7205189465581204e-5,40423317.9956518,4038899244.4919434,8864.026874429479,-0.28192916485377867,-0.11090447106223422,0.04362955010635739,"0.82 	(0.75, 0.90)",0.754327115512197,0.8950242455607178,H2
h_htn at w_education_2=0,5.988642627430919e-7,0.0016100373922901914,0.3731875024748496,8865,0.0016106961429792088,4.089850788361293e-4,542024.4425990671,53805612.78971142,8857.917339094625,0.2945273271363763,0.4518476778133229,0.0401334790789337,"1.45 	(1.34, 1.57)",1.3424916493208718,1.5712125998101103,W3 E2
h_htn at w_education_2=1,7.106562649340667e-7,0.003541826395515909,0.32335740839233207,8865,0.0035426081174073365,2.2066281833046155e-4,1855698.7061624182,184834989.8401261,8860.620161089359,0.20670071814652044,0.44001409863814367,0.059519812813947394,"1.38 	(1.23, 1.55)",1.2296145153959683,1.5527291097228706,W3 E2
Interaction of h_htn:w_education_2,1.1708674623019279e-6,0.005114707320253283,-0.04983009408251757,8865,0.005115995274461815,2.517504687624265e-4,1426486.6664993209,142004443.31684747,8860.216553710095,-0.1900188436622564,0.09035865549722125,0.07152618593537485,"0.95 	(0.83, 1.09)",0.8269435511515614,1.0945667857092727,W3 E2
w_htn at h_education_2=0,4.4818387657552237e-7,0.002419186945312761,0.30681712436330216,8865,0.002419679947576994,2.0374689004913835e-4,2175964.5946447626,216800626.3038143,8860.8327029204,0.21040602032614994,0.40322822840045436,0.04919024240209631,"1.36 	(1.23, 1.50)",1.2341790600262341,1.496648430364989,H3 E2
w_htn at h_education_2=1,8.058470769498605e-8,0.0024658944757270226,0.3292010007152621,8865,0.002465983118905487,3.5946384946799e-5,69696830.0623205,6965175565.354351,8862.027113969114,0.2318718036205845,0.4265301978099397,0.04965866610074708,"1.39 	(1.26, 1.53)",1.2609580682074588,1.5319327872594797,H3 E2
Interaction of w_htn:h_education_2,5.621302813844989e-7,0.004701217046017728,0.022383876351959958,8865,0.0047018353893272516,1.315110501159894e-4,5216094.749560713,520376910.3053247,8861.684182710296,-0.11201071845677754,0.15677847116069746,0.06856993064986468,"1.02 	(0.89, 1.17)",0.8940346747769822,1.1697364548372402,H3 E2
h_htn at w_education_3=0,5.988642627430919e-7,0.0016100373922901914,0.3731875024748496,8865,0.0016106961429792088,4.089850788361293e-4,542024.4425990671,53805612.78971142,8857.917339094625,0.2945273271363763,0.4518476778133229,0.0401334790789337,"1.45 	(1.34, 1.57)",1.3424916493208718,1.5712125998101103,W3 E3
h_htn at w_education_3=1,2.4043281502414026e-7,0.0015454812437934898,0.23341948918102856,8865,0.0015457457198900164,1.7109935555595292e-4,3083772.0525249247,307429657.9580949,8861.22880302906,0.15636159810569863,0.31047738025635846,0.03931597283407873,"1.26 	(1.17, 1.36)",1.1692489248538858,1.3640761417441882,W3 E3
Interaction of h_htn:w_education_3,4.1170360315631284e-7,0.0029524123748126603,-0.13976801329382105,8865,0.0029528652487761323,1.5336763628467158e-4,3836835.283468904,382626513.9145499,8861.4361480025491,-0.24627299124319646,-0.033263035344445635,0.054340272807339975,"0.87 	(0.78, 0.97)",0.7817087961386323,0.9672840962186433,W3 E3
w_htn at h_education_3=0,4.4818387657552237e-7,0.002419186945312761,0.30681712436330216,8865,0.002419679947576994,2.0374689004913835e-4,2175964.5946447626,216800626.3038143,8860.8327029204,0.21040602032614994,0.40322822840045436,0.04919024240209631,"1.36 	(1.23, 1.50)",1.2341790600262341,1.496648430364989,H3 E3
w_htn at h_education_3=1,8.617769603170393e-8,9.397275641085341e-4,0.23436865613135222,8865,9.398223595741689e-4,1.0086530147870275e-4,8862312.589099484,884624427.5375258,8862.017928268293,0.17428297644849328,0.29445433581421115,0.030656522300713904,"1.26 	(1.19, 1.34)",1.1903923711696314,1.3423936626565238,H3 E3
Interaction of w_htn:h_education_3,4.443172113071906e-7,0.0033470464365554418,-0.07244846823194995,8865,0.00334753518548788,1.460026274127655e-4,4233131.541974784,422202856.1241629,8861.520658839287,-0.18584784494807977,0.04095090848417986,0.05785788784157161,"0.93 	(0.83, 1.04)",0.830399934915271,1.041800960701757,H3 E3
h_htn at w_education_4=0,5.988642627430919e-7,0.0016100373922901914,0.3731875024748496,8865,0.0016106961429792088,4.089850788361293e-4,542024.4425990671,53805612.78971142,8857.917339094625,0.2945273271363763,0.4518476778133229,0.0401334790789337,"1.45 	(1.34, 1.57)",1.3424916493208718,1.5712125998101103,W3 E4
h_htn at w_education_4=1,2.6049826947105863e-6,0.009488211804130457,0.43360846804680836,8865,0.009491077285094638,3.0191314200778553e-4,992739.7661784702,98736669.45194583,8859.529793272735,0.24266454054819173,0.624552395545425,0.0974221601335889,"1.54 	(1.27, 1.87)",1.27464096203245,1.867409909342817,W3 E4
Interaction of h_htn:w_education_4,2.392440573271935e-6,0.010799347675629426,0.06042096557195873,8865,0.010801979360260026,2.4362985179188297e-4,1522944.0562013066,151628733.4745822,8860.323607709892,-0.14328313246461438,0.26412506360853183,0.10393257121932482,"1.06 	(0.87, 1.30)",0.8665086974177029,1.3022910553355516,W3 E4
w_htn at h_education_4=0,4.4818387657552237e-7,0.002419186945312761,0.30681712436330216,8865,0.002419679947576994,2.0374689004913835e-4,2175964.5946447626,216800626.3038143,8860.8327029204,0.21040602032614994,0.40322822840045436,0.04919024240209631,"1.36 	(1.23, 1.50)",1.2341790600262341,1.496648430364989,H3 E4
w_htn at h_education_4=1,2.1700321219243189e-7,0.0035129147897544166,0.32194405669229026,8865,0.0035131534932878283,6.794566017902093e-5,19518662.43820388,1949481256.5826552,8862.027113969114,0.20577334398034705,0.43811476940423344,0.05927186088936156,"1.38 	(1.23, 1.55)",1.2284747312449134,1.5497827648576314,H3 E4
Interaction of w_htn:h_education_4,9.9403633257182e-7,0.005875468917542555,0.015126932328988091,8865,0.005876562357508384,1.8606795934564236e-4,2608270.6402169247,259955685.39147282,8861.049501293377,-0.13512143709253333,0.1653753017505095,0.07665873960292058,"1.02 	(0.87, 1.18)",0.8736098166100882,1.1798358300833618,H3 E4
h_htn at rural=0,5.480004446165461e-7,0.002839065860260166,0.3077057230080369,8867,0.0028396686607492444,2.1227845959998458e-4,2004880.6107693953,199724183.5205326,8862.725528409805,0.20326210014431934,0.41214934587175445,0.053288541552093956,"1.36 	(1.23, 1.51)",1.2253936020009917,1.5100599407074982,W4
h_htn at rural=1,3.7093021890784324e-7,8.96316555164108e-4,0.3143613300593287,8867,8.967245784049067e-4,4.550151190507337e-4,438268.8267377375,43470121.54820839,8859.161112153946,0.2556695015542109,0.3730531585644465,0.02994535988103844,"1.37 	(1.29, 1.45)",1.2913258762115778,1.4521615326034463,W4
Interaction of h_htn:rural,7.375754653685282e-7,0.003635783792694547,0.006655607051291847,8867,0.003636595125706452,2.2310237567284042e-4,1815417.1318443962,180814860.13707596,8862.5884552047155,-0.11153843091156337,0.12484964501414705,0.06030418829323923,"1.01 	(0.89, 1.13)",0.894457015944255,1.1329780913548835,W4
w_htn at rural=0,2.3129983613058471e-7,0.0017153076105301747,0.23954824930508825,8867,0.0017155620403499184,1.4830697681545102e-4,4102777.191759829,409184661.2547239,8863.493935545897,0.15836782696485852,0.320728671645318,0.04141934379429397,"1.27 	(1.17, 1.38)",1.1715970604515753,1.3781316039801346,H4
w_htn at rural=1,4.447349573410131e-8,6.790134090826726e-4,0.29477598899433965,8867,6.790623299279801e-4,7.204175986716842e-5,17363484.041069105,1734098979.3463035,8864.026874429479,0.2437016316244772,0.34585034636420214,0.0260588244156942,"1.34 	(1.28, 1.41)",1.2759635665117484,1.4131911108040156,H4
Interaction of w_htn:rural,3.56563804033195e-7,0.0023417059003880106,0.05522773968925139,8867,0.002342098120572447,1.67465308558742e-4,3218851.510151828,320917057.4822282,8863.271298694128,-0.039625165126945694,0.15008064450544845,0.04839522828309054,"1.06 	(0.96, 1.16)",0.9611496440442399,1.161927942054318,H4
h_htn at hh_low=0,2.763505925731434e-7,0.0034680943340695894,0.39280959211379596,8864,0.00346839831972142,8.764438908356803e-5,11734893.312169699,1171640223.7674892,8861.027233735625,0.27738121888388906,0.5082379653437028,0.05889310927198037,"1.48 	(1.32, 1.66)",1.3196693580345686,1.6623594777996968,W5 Low
h_htn at hh_low=1,1.7592393206018256e-7,0.002852537200021437,0.3501470345155293,8864,0.0028527307163467032,6.783546871680336e-5,19582087.083071586,1955819848.096975,8861.027233735625,0.2454634752192449,0.4548305938118137,0.05341096063868074,"1.42 	(1.28, 1.58)",1.2782135962667949,1.5759063921248453,W5 Low
Interaction of h_htn:hh_low,2.2847357616554153e-7,0.00600451838856618,-0.04266255759826665,8864,0.0060047697094999615,4.1853550750578926e-5,51416796.297894776,5137808261.450764,8861.027233735625,-0.1945410471142735,0.10921593191774018,0.07749044915020148,"0.96 	(0.82, 1.12)",0.8232123870700891,1.1154031754863307,W5 Low
w_htn at hh_low=0,1.1495786348706489e-7,0.0028415211060059844,0.3929873238669991,8864,0.00284164755965582,4.4500117337242e-5,45484978.98005908,4544856729.166787,8861.027233735625,0.28850731578335653,0.49746733195064163,0.05330710608967457,"1.48 	(1.33, 1.64)",1.3344341119180558,1.644550890339285,H5 Low
w_htn at hh_low=1,3.4287196467222925e-7,0.0021265259020415207,0.33322961899231635,8864,0.00212690306120266,1.7732785664720756e-4,2871267.7963568466,286212488.58704203,8860.15490864684,0.24283929542656052,0.4236199425580721,0.04611835926399225,"1.40 	(1.27, 1.53)",1.274863731223168,1.5274809529490396,H5 Low
Interaction of w_htn:hh_low,4.881682429496879e-7,0.00477048733064445,-0.05975770487468278,8864,0.004771024315711694,1.1255131638635436e-4,7119028.866820509,710462814.2323135,8860.892732385422,-0.19513751689916448,0.0756221071497989,0.0690726017731466,"0.94 	(0.82, 1.08)",0.8227215121652318,1.0785549189447217,H5 Low
h_htn at hh_medium=0,2.763505925731434e-7,0.0034680943340695894,0.39280959211379596,8864,0.00346839831972142,8.764438908356803e-5,11734893.312169699,1171640223.7674892,8861.027233735625,0.27738121888388906,0.5082379653437028,0.05889310927198037,"1.48 	(1.32, 1.66)",1.3196693580345686,1.6623594777996968,W5 Medium
h_htn at hh_medium=1,2.610333247533365e-7,0.003428722880732021,0.23357144246224476,8864,0.00342901001738925,8.373747984769312e-5,12854556.319903387,1283520285.4177217,8861.027233735625,0.11880036247084753,0.348342522453642,0.05855774942216658,"1.26 	(1.13, 1.42)",1.1261450750252777,1.4167174241719565,W5 Medium
Interaction of h_htn:hh_medium,2.959371038943517e-7,0.006721505972568505,-0.1592381496515512,8864,0.006721831503382789,4.8428886400970064e-5,38407146.72976818,3837368832.989571,8861.027233735625,-0.3199292786418553,0.0014529793387528245,0.08198677639340864,"0.85 	(0.73, 1.00)",0.7262003931357721,1.0014540354246606,W5 Medium
w_htn at hh_medium=0,1.1495786348706489e-7,0.0028415211060059844,0.3929873238669991,8864,0.00284164755965582,4.4500117337242e-5,45484978.98005908,4544856729.166787,8861.027233735625,0.28850731578335653,0.49746733195064163,0.05330710608967457,"1.48 	(1.33, 1.64)",1.3344341119180558,1.644550890339285,H5 Medium
w_htn at hh_medium=1,2.329012529730255e-7,0.0026034265930769303,0.1993579265121293,8864,0.0026036827844552004,9.839577224993405e-5,9312332.649908869,929586123.7894711,8861.027233735625,0.09934822585923835,0.29936762716502024,0.051026295029672694,"1.22 	(1.10, 1.35)",1.104450830942702,1.3490054633793156,H5 Medium
Interaction of w_htn:hh_medium,2.835295566757251e-7,0.0052532121555604536,-0.1936293973548698,8864,0.0052535240380727965,5.936634344547678e-5,25563826.98568727,2553653150.6690283,8861.027233735625,-0.3356899347145253,-0.05156885999521435,0.0724811978244896,"0.82 	(0.71, 0.95)",0.7148447199890244,0.9497382487391983,H5 Medium
h_htn at hh_high=0,2.763505925731434e-7,0.0034680943340695894,0.39280959211379596,8864,0.00346839831972142,8.764438908356803e-5,11734893.312169699,1171640223.7674892,8861.027233735625,0.27738121888388906,0.5082379653437028,0.05889310927198037,"1.48 	(1.32, 1.66)",1.3196693580345686,1.6623594777996968,W5 High
h_htn at hh_high=1,2.5812150310807772e-6,0.0028185465322934063,0.2772810946583252,8864,0.002821385868827595,0.00100636235743561,90482.66131012738,8886561.316681996,8844.271341134234,0.17317422368064778,0.3813879656360026,0.053116719296541604,"1.32 	(1.19, 1.46)",1.1890732517570612,1.4643155993543502,W5 High
Interaction of h_htn:hh_high,3.016417376742334e-6,0.006344104825805256,-0.11552849745547078,8864,0.006347422884919673,5.227411462216698e-4,332465.03667305585,32935869.84888651,8854.986792930535,-0.2716802359090837,0.0406232409981421,0.07967071535338234,"0.89 	(0.76, 1.04)",0.7620979136786439,1.0414596523208957,W5 High
w_htn at hh_high=0,1.1495786348706489e-7,0.0028415211060059844,0.3929873238669991,8864,0.00284164755965582,4.4500117337242e-5,45484978.98005908,4544856729.166787,8861.027233735625,0.28850731578335653,0.49746733195064163,0.05330710608967457,"1.48 	(1.33, 1.64)",1.3344341119180558,1.644550890339285,H5 High
w_htn at hh_high=1,2.2267111024985668e-8,0.0016921080398743166,0.2387243222618886,8864,0.001692132533696444,1.447512038195836e-5,429646511.6062938,42953458814.86037,8861.027233735625,0.15810014817174342,0.3193484963520338,0.04113553857306896,"1.27 	(1.17, 1.38)",1.1712834907342704,1.3762308527760783,H5 High
Interaction of w_htn:hh_high,1.6936595670716307e-7,0.004509000832242268,-0.15426300160511047,8864,0.004509187134794646,4.131621660593685e-5,52762375.38972461,5272315831.40017,8861.027233735625,-0.28587552646908576,-0.02265047674113521,0.06715048127001508,"0.86 	(0.75, 0.98)",0.751356134077482,0.9776041194427,H5 High
h_htn at hh_highest=0,2.763505925731434e-7,0.0034680943340695894,0.39280959211379596,8864,0.00346839831972142,8.764438908356803e-5,11734893.312169699,1171640223.7674892,8861.027233735625,0.27738121888388906,0.5082379653437028,0.05889310927198037,"1.48 	(1.32, 1.66)",1.3196693580345686,1.6623594777996968,W5 Highest
h_htn at hh_highest=1,7.510005889343335e-7,0.0036796820049700076,0.33759931266635873,8864,0.0036805081056178355,2.2445288099402023e-4,1793680.0873469613,178645524.68623087,8859.572180297166,0.21869380178252568,0.4565048235501918,0.0606671913443983,"1.40 	(1.24, 1.58)",1.2444501699196373,1.5785470313730003,W5 Highest
Interaction of h_htn:hh_highest,1.1519528222120266e-6,0.007004715146070745,-0.0552102794474372,8864,0.007005982294175178,1.8086658675782623e-4,2760187.360112604,275122319.1846476,8860.112494238594,-0.21926268789787187,0.10884212900299745,0.0837017460640767,"0.95 	(0.80, 1.11)",0.8031107229743233,1.1149863124453845,W5 Highest
w_htn at hh_highest=0,1.1495786348706489e-7,0.0028415211060059844,0.3929873238669991,8864,0.00284164755965582,4.4500117337242e-5,45484978.98005908,4544856729.166787,8861.027233735625,0.28850731578335653,0.49746733195064163,0.05330710608967457,"1.48 	(1.33, 1.64)",1.3344341119180558,1.644550890339285,H5 Highest
w_htn at hh_highest=1,1.1485028197597182e-7,0.0021466921889104714,0.26857338931667823,8864,0.002146818524220645,5.884768961523297e-5,26016183.304953944,2598864732.1634083,8861.027233735625,0.17776086284604986,0.3593859157873066,0.04633377304106202,"1.31 	(1.19, 1.43)",1.194539628269276,1.4324494997938042,H5 Highest
Interaction of w_htn:hh_highest,1.843188610815078e-7,0.00489164582693344,-0.12441393455032085,8864,0.00489184857768063,4.1446652317637504e-5,52430926.73065602,5239183305.105849,8861.027233735625,-0.2614972481844532,0.012669379083811494,0.06994175131979917,"0.88 	(0.77, 1.01)",0.7698979940386955,1.012749975676934,H5 Highest
