iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,3.323602045570706e-5,0.014587571476706971,-4.403739749623898,8868,0.01462413109920825,0.0024999517751353516,15055.858066642013,1440055.5566515971,8789.85482693134,-4.640758929947383,-4.166720569300413,0.12093027370848149,"0.01 (0.01, 0.02)",0.009650370892176574,0.01550301792298989,W1
factor(state)10,Conditional,1.4885984812045321e-6,0.008455419459760534,0.12322713946922761,8868,0.008457056918089859,1.93620351049361e-4,2409088.6098931013,240071443.0817546,8863.956749665193,-0.057015575286990555,0.30346985422544576,0.09196225811760964,"1.13 (0.94, 1.35)",0.9445793571573772,1.3545507563448125,W1
factor(state)11,Conditional,2.8471415575616897e-7,0.013571368280887057,0.3362229761028148,8868,0.013571681466458388,2.3076401557596647e-5,169077847.65517625,16900763877.867855,8865.026754656352,0.10789195436366314,0.5645539978419665,0.1164975599163278,"1.40 (1.11, 1.76)",1.113927383891292,1.7586632401806122,W1
factor(state)12,Conditional,3.798544745178034e-7,0.008773761851352101,0.19655417788211318,8868,0.008774179691274071,4.762153690391432e-5,39719876.24896775,3968585073.7269692,8865.026754656352,0.012963192291971626,0.3801451634722547,0.0936705913895822,"1.22 (1.01, 1.46)",1.0130475787140625,1.4624968751503444,W1
factor(state)13,Conditional,6.120700002632387e-7,0.013903530523793853,0.14282927174908142,8868,0.013904203800794143,4.8422549750824865e-5,38417195.04540453,3838373226.8067837,8865.026754656352,-0.08828201393159407,0.3739405574297569,0.11791608796425593,"1.15 (0.92, 1.45)",0.9155026558107396,1.4534507510406127,W1
factor(state)14,Conditional,2.7281684205952492e-6,0.012051045292299938,-0.07628864626053762,8868,0.012054046277562592,2.4896082141652383e-4,1458560.7332133446,145204639.5273903,8863.252345973196,-0.29147489853971553,0.13889760601864026,0.10979092074284919,"0.93 (0.75, 1.15)",0.7471607681939345,1.1490064426357351,W1
factor(state)15,Conditional,6.640593874351997e-7,0.023252578904046365,-0.2845466368977242,8868,0.023253309369372543,3.141339215745489e-5,91255357.47733925,9120377982.5505,8865.026754656352,-0.5834222471622865,0.014328973366838083,0.15249035828331095,"0.75 (0.56, 1.01)",0.5579855309343014,1.0144321252034827,W1
factor(state)16,Conditional,3.875804803492246e-6,0.01307555668907405,0.02427453996599993,8868,0.013079820074357892,3.2595137086018116e-4,852081.6552879328,84710429.87540053,8862.18355582318,-0.19988074467743297,0.24842982460943278,0.11436704103174958,"1.02 (0.82, 1.28)",0.8188283969001927,1.2820108536001875,W1
factor(state)17,Conditional,6.764708744067697e-7,0.01883282513688342,0.03671567374625288,8868,0.018833569254845268,3.951019330316314e-5,57694313.31140802,5765330394.4106865,8865.026754656352,-0.23226086941235863,0.3056922169048644,0.1372354518877876,"1.04 (0.79, 1.36)",0.7927392948962405,1.3575644068649717,W1
factor(state)18,Conditional,9.271296655545171e-7,0.007725408721835865,-0.06896578918821485,8868,0.0077264285644679746,1.3199405438108687e-4,5178035.173511741,516575460.34189653,8864.678292318995,-0.2412468308048879,0.1033152524284582,0.08790010559986816,"0.93 (0.79, 1.11)",0.785647680404096,1.1088409187736392,W1
