term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_dm at w_ge40=0,8.58572514966719e-7,0.015702179384011344,1.1439953908901377,8867,0.01570312381377781,6.0142795641384104e-5,24908370.27676929,2488142709.2241554,8864.026874429479,0.8983881769374991,1.3896026048427763,0.12531210561545045,"3.14 	(2.46, 4.01)",2.455641859413848,4.013254888002577,W2
h_dm at w_ge40=1,9.829192550402514e-7,0.011620874611698,0.5962596710830357,8867,0.011621955822878543,9.303177511790616e-5,10416140.926063875,1039872023.0827364,8864.026874429479,0.3849654098892105,0.8075539322768608,0.10780517530656189,"1.82 	(1.47, 2.24)",1.4695634881981168,2.242416170920547,W2
Interaction of h_dm:w_ge40,4.7393817968329235e-7,0.023151475299034552,-0.547735719807102,8867,0.023151996631032203,2.251779861408777e-5,177568799.4941049,17749684911.465084,8864.026874429479,-0.8459595312090233,-0.24951190840518073,0.15215780174224455,"0.58 	(0.43, 0.78)",0.4291453822029976,0.7791810019709368,W2
w_dm at h_ge40=0,7.267197090074202e-7,0.02341439219168007,1.4838923786150364,8867,0.023415191583359977,3.413987355440861e-5,77265484.74032454,7721802560.497953,8864.026874429479,1.183978233776319,1.783806523453754,0.15302023259477807,"4.41 	(3.27, 5.95)",3.2673466508708837,5.952471571373569,H2
w_dm at h_ge40=1,5.993879508584366e-6,0.006741633407682447,0.6526172194794346,8867,0.00674822667514189,9.770370464480835e-4,95945.55382610088,9428018.954336064,8848.027725852902,0.491610879414073,0.8136235595447963,0.08214759080546362,"1.92 	(1.63, 2.26)",1.6349478035642284,2.256068190681225,H2
Interaction of w_dm:h_ge40,6.2871000427321705e-6,0.028288711620499646,-0.8312751591356017,8867,0.02829562743054665,2.4441267697564465e-4,1513225.3320687253,150658990.7963547,8862.312613596805,-1.1609666654360227,-0.5015836528351808,0.1682130417968436,"0.44 	(0.31, 0.61)",0.3131832910470289,0.6055708858886134,H2
h_dm at w_education_2=0,7.835362888108794e-7,0.023687549306497045,0.8952665408500018,8865,0.023688411196414738,3.638445442986971e-5,68029167.54198271,6798463574.212303,8862.027113969114,0.5936077001522716,1.1969253815477319,0.15391039989687097,"2.45 	(1.81, 3.31)",1.8105084187155076,3.3099245069064174,W3 E2
h_dm at w_education_2=1,1.7842935676879433e-6,0.0487242273556563,0.5919599969772195,8865,0.048726190078580756,4.028065648661333e-5,55509109.262664884,5546888415.743293,8862.027113969114,0.15931735835052324,1.0246026356039155,0.2207400962185637,"1.81 	(1.17, 2.79)",1.1727100569607614,2.785988188071236,W3 E2
Interaction of h_dm:w_education_2,3.169032830365708e-6,0.06787076562755774,-0.3033065438727824,8865,0.06787425156367115,5.1358741099814693e-5,34151923.09105641,3412037297.1825995,8862.027113969114,-0.8139298321707804,0.20731674442521547,0.2605268730163381,"0.74 	(0.44, 1.23)",0.4431132792882599,1.2303722236102412,W3 E2
w_dm at h_education_2=0,2.048565911090966e-6,0.07220169646058064,0.3681949318581635,8865,0.07220394988308283,3.1209130606413446e-5,92453446.38411658,9240153120.791393,8862.027113969114,-0.1584629269458136,0.8948527906621406,0.2687079267217155,"1.45 	(0.85, 2.45)",0.8534546033731988,2.4469755452975277,H3 E2
w_dm at h_education_2=1,1.147973186235718e-5,0.030058928575672793,1.0097382062373756,8865,0.030071556280721386,4.1992189997457535e-4,514259.03219670925,51039388.196103655,8857.741405719116,0.6698578587539255,1.3496185537208258,0.17341152291794623,"2.74 	(1.95, 3.86)",1.9539595626489596,3.855954410675565,H3 E2
Interaction of w_dm:h_education_2,1.2961853414671408e-5,0.10271242575022732,0.6415432743792121,8865,0.10272668378898346,1.3879586325814597e-4,4683535.285850571,467185617.824757,8861.602438210295,0.013355143636058053,1.269731405122366,0.3205100369551373,"1.90 	(1.01, 3.56)",1.0134447218994813,3.559896264031427,H3 E2
h_dm at w_education_3=0,7.835362888108794e-7,0.023687549306497045,0.8952665408500018,8865,0.023688411196414738,3.638445442986971e-5,68029167.54198271,6798463574.212303,8862.027113969114,0.5936077001522716,1.1969253815477319,0.15391039989687097,"2.45 	(1.81, 3.31)",1.8105084187155076,3.3099245069064174,W3 E3
h_dm at w_education_3=1,8.351088021743073e-7,0.015199617711987795,0.7381265032750589,8865,0.015200536331670187,6.043337303025301e-5,24669544.888037294,2464273121.7410655,8862.027113969114,0.49648165142024203,0.9797713551298757,0.12329045515233605,"2.09 	(1.64, 2.66)",1.6429306871779596,2.6638470973195782,W3 E3
Interaction of h_dm:w_education_3,4.104510614461741e-7,0.03610099334814866,-0.15714003757494294,8865,0.03610144484431625,1.2506318501595215e-5,575547669.9300274,57541812811.71545,8862.027113969114,-0.5295406467887778,0.2152605716388919,0.1900038021838412,"0.85 	(0.59, 1.24)",0.5888754093702334,1.2401850119080207,W3 E3
