iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,6.912658314752926e-5,0.08293630109588174,-6.706074021036754,8868,0.08301234033734402,9.159992496690892e-4,109039.42690225331,10726357.650159223,8850.5705812464,-7.270776207133344,-6.141371834940164,0.2881186219898742,"0.00 (0.00, 0.00)",6.955718763133654e-4,0.0021519694455666314,W1
factor(state)10,Conditional,5.6309264351443895e-6,0.03275052293470885,-0.19029501674645008,8868,0.032756716953787506,1.890915712767315e-4,2525661.2282058094,251708666.0515629,8864.012029968768,-0.5450253093481292,0.16443527585522902,0.18098816799389816,"0.83 (0.58, 1.18)",0.579827108108003,1.1787272749677924,W1
factor(state)11,Conditional,5.063681569738694e-7,0.1924957217199136,0.043269212396552154,8868,0.19249627872488628,2.893588262385696e-6,10749584081.759422,1074902421596.3961,8865.026754656352,-0.8166531840208073,0.9031916088139115,0.43874397856253966,"1.04 (0.44, 2.47)",0.44190816763568663,2.467465742672963,W1
factor(state)12,Conditional,6.047503678449077e-7,0.045242367065157996,-0.34872920884272474,8868,0.045243032290562625,1.4703377977787749e-5,416411964.29274654,41630177823.95775,8865.026754656352,-0.7656215756205742,0.06816315793512479,0.2127040956130432,"0.71 (0.47, 1.07)",0.4650447806211085,1.070539961319946,W1
factor(state)13,Conditional,1.2353249729136657e-6,0.15294168645957315,-1.0263866640937442,8868,0.15294304531704336,8.884728739304151e-6,1140311792.4301934,114012944980.41875,8865.026754656352,-1.7928880734267292,-0.25988525476075963,0.3910793337892497,"0.36 (0.17, 0.77)",0.16647867207258654,0.7711400653784539,W1
factor(state)14,Conditional,3.4856361830914954e-6,0.14536868284784082,-1.091672477209434,8868,0.14537251704764223,2.637499769054753e-5,129438599.61622538,12937717051.989923,8865.026754656352,-1.838962606947316,-0.34438234747155216,0.3812774803835682,"0.34 (0.16, 0.71)",0.15898226768938206,0.7086579226787715,W1
factor(state)15,Conditional,1.4924329566144453e-6,0.09581755182543637,-0.3974158105454337,8868,0.09581919350168865,1.7133062722417494e-5,306694807.9297887,30660024661.71805,8865.026754656352,-1.0041163018077375,0.20928468071687006,0.3095467549526059,"0.67 (0.37, 1.23)",0.3663682507544343,1.2327959018012669,W1
factor(state)16,Conditional,8.54085920301398e-6,0.12613651267156145,-0.26806686784994566,8868,0.12614590761668476,7.447681261181675e-5,16247343.348898835,1622558432.244303,8865.026754656352,-0.9641877698716717,0.4280540341717802,0.35517025159307014,"0.76 (0.38, 1.53)",0.3812927714772795,1.534268981681537,W1
factor(state)17,Conditional,1.4443881804952722e-6,0.10945968430548988,-0.05447016056991179,8868,0.10946127313248843,1.4514969112607836e-5,427290992.61996156,42717937641.17866,8865.026754656352,-0.7029229138395966,0.5939825926997728,0.33084932088866137,"0.95 (0.50, 1.81)",0.49513594693889124,1.8111872920732026,W1
factor(state)18,Conditional,2.200669565274365e-6,0.03159143647804119,-0.06185725145920326,8868,0.031593857214562995,7.662048053714624e-5,15351525.048033997,1533037458.6017287,8865.026754656352,-0.4102342048707004,0.2865197019522938,0.17774660957262448,"0.94 (0.66, 1.33)",0.6634948382151208,1.331784406388574,W1
factor(state)19,Conditional,1.3416032707440632e-6,0.032601622297815554,-0.21365353495475856,8868,0.03260309806141337,4.526452041577837e-5,43962303.19314782,4392650628.282002,8865.026754656352,-0.5675510606581631,0.14024399074864594,0.18056327993646265,"0.81 (0.57, 1.15)",0.5669120733943006,1.150554489264097,W1
factor(state)2,Conditional,5.0783286793928485e-6,0.09772194627920233,-0.5978065304917063,8868,0.09772753244074966,5.716057090379231e-5,27573768.2032467,2754541969.8762913,8865.026754656352,-1.2105187727793156,0.014905711795902943,0.31261403110025254,"0.55 (0.30, 1.02)",0.298042622917716,1.0150173559400715,W1
factor(state)20,Conditional,1.6314166857538255e-6,0.04088765510500121,-0.0596141105956966,8868,0.04088944966335554,4.3888053498002005e-5,46761979.64387504,4672506025.887694,8865.026754656352,-0.4559411689250554,0.33671294773366217,0.20221139845062033,"0.94 (0.63, 1.40)",0.6338511261447669,1.4003370361199712,W1
factor(state)21,Conditional,8.170601846534723e-7,0.03447718891738587,-0.2911151349203351,8868,0.03447808768358899,2.606775095437262e-5,132507096.74482203,13244494370.228525,8865.026754656352,-0.6550466588049746,0.07281638896430431,0.1856827608680703,"0.75 (0.52, 1.08)",0.5194178266065697,1.0755330390486397,W1
factor(state)22,Conditional,2.406755371583186e-6,0.041235705258501246,-0.5327587805140557,8868,0.041238352689409986,6.41982702044586e-5,21862386.55951526,2183714494.4745445,8865.026754656352,-0.9307731444071679,-0.13474441662094355,0.20307228439501532,"0.59 (0.39, 0.87)",0.3942487812694043,0.8739392474923231,W1
factor(state)23,Conditional,3.2845394071376746e-6,0.02951043409988881,-0.7860456958295564,8868,0.029514047093236663,1.2241605959486943e-4,6018969.653755688,600572880.5958114,8864.784484490809,-1.1227607044016195,-0.44933068725749337,0.17179652817573662,"0.46 (0.33, 0.64)",0.3253802747833612,0.6380550671226897,W1
factor(state)24,Conditional,1.5235170318748497e-6,0.04080177701769119,-1.0717235779685979,8868,0.040803452886426256,4.107173821115105e-5,53392143.17465076,5335269270.375414,8865.026754656352,-1.4676336486620039,-0.6758135072751918,0.20199864575394127,"0.34 (0.23, 0.51)",0.23047021392183104,0.5087423865878516,W1
factor(state)25,Conditional,9.664529958810026e-7,0.4098440449677473,-2.535715956675731,8868,0.40984510806604274,2.593902609904507e-6,13376899192.373955,1337627464351.7195,8865.026754656352,-3.790468165480914,-1.2809637478705476,0.6401914620377585,"0.08 (0.02, 0.28)",0.022585025846168085,0.2777694716773859,W1
factor(state)27,Conditional,7.85053859019042e-7,0.0316807880052636,-0.5246988789285036,8868,0.03168165156450852,2.7257393547259116e-5,121195616.79697171,12113617609.133009,8865.026754656352,-0.8735595386208224,-0.17583821923618498,0.17799340314884854,"0.59 (0.42, 0.84)",0.41746292600557644,0.8387536665701399,W1
factor(state)28,Conditional,3.16806017362294e-7,0.03785808585297276,-0.35459865292710646,8868,0.03785843433959186,9.204992894650179e-6,1062349821.9424105,106217382320.74908,8865.026754656352,-0.735953627373237,0.02675632151902413,0.19457243982535619,"0.70 (0.48, 1.03)",0.47904840740667937,1.0271174858375713,W1
factor(state)29,Conditional,4.70023339205385e-7,0.03987394917196954,-0.6811983698083481,8868,0.03987446619764267,1.2966334660462226e-5,535438274.20095116,53531332797.9293,8865.026754656352,-1.0725755790353686,-0.28982116058132784,0.19968591887672668,"0.51 (0.34, 0.75)",0.3421262085880944,0.7483973985667759,W1
factor(state)3,Conditional,5.667835472047208e-6,0.04122745814574564,-0.7830106860742739,8868,0.04123369276476489,1.5120205349591074e-4,3947374.3887126828,393665295.8510586,8864.460506566858,-1.1810025625680245,-0.3850188095805234,0.20306081050947494,"0.46 (0.31, 0.68)",0.3069708268160659,0.6804378373339248,W1
factor(state)30,Conditional,1.458390574309035e-6,0.10860826345077629,-0.39969749250463,8868,0.10860986768040803,1.4770569801820347e-5,412632536.03823006,41252285119.19993,8865.026754656352,-1.0456234435546,0.24622845854533987,0.3295601123928805,"0.67 (0.35, 1.28)",0.35147262771398485,1.2791917824554861,W1
factor(state)31,Conditional,8.914450890439752e-7,0.2900936889387743,0.034255342420548056,8868,0.29009466952837226,3.3802399731873314e-6,7877236180.300378,787675691709.5754,8865.026754656352,-1.0213898286002534,1.0899005134413495,0.5386043719915131,"1.03 (0.36, 2.97)",0.3600941231176685,2.9739781869896653,W1
factor(state)32,Conditional,7.796682130057754e-6,0.037208474893558253,-0.05547526479029976,8868,0.03721705124390132,2.3044142554063627e-4,1701848.7795401006,169481150.35200113,8863.49401690377,-0.4335860578432673,0.3226355282626677,0.19291721344634158,"0.95 (0.65, 1.38)",0.6481805091986896,1.3807620104557246,W1
factor(state)33,Conditional,6.432762358791614e-7,0.03174050855276769,0.05405691750697317,8868,0.03174121615662716,2.2292903207470173e-5,181168839.12703452,18109616297.0852,8865.026754656352,-0.2951315341931555,0.4032453692071018,0.17816064704818277,"1.06 (0.74, 1.50)",0.7444336625446522,1.4966740843462174,W1
factor(state)34,Conditional,5.083043353686586e-7,0.156517725246612,-0.6021186089958738,8868,0.1565182843813809,3.5723287609203955e-6,7052897864.604106,705244437161.6561,8865.026754656352,-1.377527239421684,0.17329002142993655,0.39562391785808515,"0.55 (0.25, 1.19)",0.25220141636665083,1.1892109517358742,W1
factor(state)35,Conditional,5.035118475276862e-7,0.18700530882992067,-0.3623248356143717,8868,0.18700586269295294,2.961741542776383e-6,10260566701.012367,1026001971824.304,8865.026754656352,-1.2098950809421871,0.4852454097134439,0.4324417448546717,"0.70 (0.30, 1.62)",0.29822856764882405,1.6245736460804567,W1
factor(state)36,Conditional,8.271671508223072e-6,0.039587103125318795,-0.3030849039763006,8868,0.03959620196397784,2.2979069223161698e-4,1711481.1906099303,170442400.6707495,8863.502399957946,-0.693094110868689,0.08692430291608777,0.19898794426793256,"0.74 (0.50, 1.09)",0.5000265355497386,1.0908141051461402,W1
factor(state)37,Conditional,4.887082284418684e-7,0.1073887731372354,0.7935813341596617,8868,0.10738931071628668,5.005889764078036e-6,3591857328.094463,359153370201.21295,8865.026754656352,0.1512950935300481,1.4358675747892753,0.327703083165671,"2.21 (1.16, 4.20)",1.1633399015130548,4.203290095885656,W1
factor(state)4,Conditional,8.100279279228134e-7,0.23728749326041673,-0.10911104583402868,8868,0.23728838429113744,3.755054101686908e-6,6383214905.513941,638278347967.28,8865.026754656352,-1.06385371110405,0.8456316194359926,0.48712255571995167,"0.90 (0.35, 2.33)",0.34512323904827613,2.3294486750676167,W1
factor(state)5,Conditional,8.497070445444496e-7,0.08501397082168034,-0.5908634511592946,8868,0.08501490549942935,1.0994280867667006e-5,744723049.5057671,74457569287.84618,8865.026754656352,-1.1623363364582193,-0.019390565860369913,0.29157315634233094,"0.55 (0.31, 0.98)",0.31275462660029557,0.9807962219066524,W1
factor(state)6,Conditional,7.385695267505065e-7,0.03734575986068288,-0.41516418761787627,8868,0.0373465722871623,2.175370936798997e-5,190259304.15962425,19018482681.15483,8865.026754656352,-0.7939323483091771,-0.03639602692657551,0.19325261262700255,"0.66 (0.45, 0.96)",0.4520636238574601,0.9642583455882614,W1
factor(state)7,Conditional,8.37633071391002e-7,0.07760976602413358,-1.1487189782141358,8868,0.07761068742051211,1.1872029602543912e-5,638683019.7900978,63854655731.473915,8865.026754656352,-1.694739362250266,-0.6026985941780056,0.2785869476851206,"0.32 (0.18, 0.55)",0.18364708815430117,0.5473326127475086,W1
factor(state)8,Conditional,1.315217428223299e-6,0.03442787318779473,-0.8170841084303156,8868,0.034429319926965775,4.2020556145592416e-5,51009062.6092368,5097050275.952322,8865.026754656352,-1.1807581586274063,-0.45341005823322506,0.18555139430078604,"0.44 (0.31, 0.64)",0.3070458608647297,0.6354575056116939,W1
