state,variable,estimate,lci,uci,type,est_ci,n,stratification,n5_state,zone
1,w_dm,6.6,4.9,8.2,Proportion,"6.6 (4.9, 8.2)",1383,,Jammu & Kashmir,North
1,w_htn,23.1,19.6,26.6,Proportion,"23.1 (19.6, 26.6)",1383,,Jammu & Kashmir,North
1,h_dm,5.6,3.8,7.4,Proportion,"5.6 (3.8, 7.4)",1383,,Jammu & Kashmir,North
1,h_htn,24.2,20.8,27.6,Proportion,"24.2 (20.8, 27.6)",1383,,Jammu & Kashmir,North
1,dm_joint,1,0.1,1.9,Proportion,"1 (0.1, 1.9)",1383,,Jammu & Kashmir,North
1,htn_joint,8.7,6.5,11,Proportion,"8.7 (6.5, 11)",1383,,Jammu & Kashmir,North
2,w_dm,3.6,1.5,5.7,Proportion,"3.6 (1.5, 5.7)",742,,Himachal Pradesh,North
2,w_htn,20.8,16.9,24.7,Proportion,"20.8 (16.9, 24.7)",742,,Himachal Pradesh,North
2,h_dm,3.7,2.2,5.2,Proportion,"3.7 (2.2, 5.2)",742,,Himachal Pradesh,North
2,h_htn,29.8,25.1,34.4,Proportion,"29.8 (25.1, 34.4)",742,,Himachal Pradesh,North
2,dm_joint,0.2,-0.1,0.5,Proportion,"0.2 (-0.1, 0.5)",742,,Himachal Pradesh,North
2,htn_joint,9.6,6.8,12.5,Proportion,"9.6 (6.8, 12.5)",742,,Himachal Pradesh,North
3,w_dm,3.8,2.6,5,Proportion,"3.8 (2.6, 5)",1425,,Punjab,North
3,w_htn,38,34.4,41.7,Proportion,"38 (34.4, 41.7)",1425,,Punjab,North
3,h_dm,6,4.3,7.6,Proportion,"6 (4.3, 7.6)",1425,,Punjab,North
3,h_htn,49.5,46,52.9,Proportion,"49.5 (46, 52.9)",1425,,Punjab,North
3,dm_joint,0.7,0.2,1.1,Proportion,"0.7 (0.2, 1.1)",1425,,Punjab,North
3,htn_joint,21.5,18.4,24.7,Proportion,"21.5 (18.4, 24.7)",1425,,Punjab,North
4,w_dm,8.8,0.3,17.3,Proportion,"8.8 (0.3, 17.3)",45,,Chandigarh,North
4,w_htn,28.2,14.2,42.2,Proportion,"28.2 (14.2, 42.2)",45,,Chandigarh,North
4,h_dm,7.5,0.1,14.8,Proportion,"7.5 (0.1, 14.8)",45,,Chandigarh,North
4,h_htn,38.8,24.4,53.2,Proportion,"38.8 (24.4, 53.2)",45,,Chandigarh,North
4,dm_joint,2.4,-2.5,7.3,Proportion,"2.4 (-2.5, 7.3)",45,,Chandigarh,North
4,htn_joint,9.5,1.4,17.5,Proportion,"9.5 (1.4, 17.5)",45,,Chandigarh,North
5,w_dm,3.6,1.6,5.6,Proportion,"3.6 (1.6, 5.6)",669,,Uttarakhand,Central
5,w_htn,25.9,21.5,30.3,Proportion,"25.9 (21.5, 30.3)",669,,Uttarakhand,Central
5,h_dm,6.9,3.8,10,Proportion,"6.9 (3.8, 10)",669,,Uttarakhand,Central
5,h_htn,41.7,37,46.3,Proportion,"41.7 (37, 46.3)",669,,Uttarakhand,Central
5,dm_joint,1.6,0.2,3,Proportion,"1.6 (0.2, 3)",669,,Uttarakhand,Central
5,htn_joint,12.6,8.6,16.5,Proportion,"12.6 (8.6, 16.5)",669,,Uttarakhand,Central
6,w_dm,4.5,3.1,5.9,Proportion,"4.5 (3.1, 5.9)",1391,,Haryana,North
6,w_htn,27.7,24.4,30.9,Proportion,"27.7 (24.4, 30.9)",1391,,Haryana,North
6,h_dm,6.3,4.8,7.8,Proportion,"6.3 (4.8, 7.8)",1391,,Haryana,North
