term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_htn at w_ge40=0,2.125616077080263e-7,0.0013409886847333677,0.4506120805590625,8875,0.0013412225025018465,1.7433182640663833e-4,2970645.8889562,296134597.5610297,8871.188070749116,0.3788328979580754,0.5223912631600496,0.03662270474039085,"1.57 	(1.46, 1.69)",1.4605789496254808,1.6860546333216835,W2
h_htn at w_ge40=1,2.4237997264464907e-7,0.0011886549572431627,0.25635713817692773,8875,0.0011889215752130717,2.242519401343459e-4,1796889.4939772864,178965818.620946,8870.571190093644,0.18877612505939134,0.3239381512944641,0.03448074209197174,"1.29 	(1.21, 1.38)",1.2077705326576524,1.3825617948177613,W2
Interaction of h_htn:w_ge40,2.7164343965687654e-7,0.0022892415757164142,-0.19425494238213478,8875,0.002289540383500037,1.3050994242162027e-4,5296328.939803201,528390880.2399083,8871.693702600573,-0.2880375374721896,-0.10047234729208002,0.04784914193065574,"0.82 	(0.75, 0.90)",0.7497334486123475,0.9044101214559135,W2
w_htn at h_ge40=0,9.12019338613278e-8,0.0014520447117149838,0.43519980702109884,8875,0.0014521450338422313,6.908547349572805e-5,18880301.555338874,1885684505.2095802,8872.025916182749,0.36051141865756825,0.5098881953846294,0.03810702079462827,"1.55 	(1.43, 1.67)",1.4340626334403144,1.665105018112264,H2
w_htn at h_ge40=1,8.469925534384358e-8,6.221145395651745e-4,0.23020961548047697,8875,6.222077087460528e-4,1.497396762666178e-4,4024746.225329253,401392015.9435042,8871.47595588146,0.18132009405224842,0.2790991369087055,0.024944091660071586,"1.26 	(1.20, 1.32)",1.1987988462656978,1.3219383902591744,H2
Interaction of w_htn:h_ge40,1.0316322188224126e-7,0.0017844286639213099,-0.20499019154062184,8875,0.0017845421434653803,6.35902853210857e-5,22282192.630586367,2225670975.1165423,8872.025916182749,-0.2877865994661564,-0.12219378361508727,0.04224384148565777,"0.81 	(0.75, 0.88)",0.7499216088362869,0.8849768578704019,H2
h_htn at w_education_2=0,2.473501813634615e-7,0.0015721608299780765,0.3764416931465129,8873,0.0015724329151775762,1.7303453576528627e-4,3015286.171823874,300591658.8956526,8869.203985620543,0.2987214490616954,0.45416193723133036,0.039653914247871874,"1.46 	(1.35, 1.57)",1.3481340471629748,1.5748530041621693,W3 E2
h_htn at w_education_2=1,4.276958177630721e-7,0.0034856973714220653,0.34669405258429353,8873,0.0034861678368216047,1.3495202226646385e-4,4953795.063979768,494178350.77761734,8869.64431890963,0.2309703719792463,0.46241773318934076,0.059043778984932904,"1.41 	(1.26, 1.59)",1.2598219128664974,1.5879084867756244,W3 E2
Interaction of h_htn:w_education_2,9.231848335369878e-7,0.00499813027753998,-0.029747640562219353,8873,0.0049991457808568705,2.03135367802102e-4,2189061.3859822573,218107911.84215873,8868.838017185772,-0.1683261846047563,0.1088309034803176,0.07070463761916096,"0.97 	(0.85, 1.11)",0.8450781382446245,1.1149737962114972,W3 E2
w_htn at h_education_2=0,5.686029044398375e-7,0.0024243061207582786,0.2987859473731969,8873,0.0024249315839531623,2.5793024389751283e-4,1359101.6928026977,135281363.4888394,8868.13120379994,0.2022702751253982,0.39530161962099564,0.049243594344372976,"1.35 	(1.22, 1.48)",1.2241788284894646,1.4848319778452579,H3 E2
