iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,2.4111209840157064e-5,0.021480902173018575,-4.4403914830899796,8857,0.021507424503842746,0.0012331709368285362,60503.83639843288,5918285.990808602,8830.88438093948,-4.727828292431343,-4.152954673748616,0.14665409814881664,"0.01 	(0.01, 0.02)",0.008845660382967297,0.015717906522023917,W1
casteOBC,Conditional,2.733704703205341e-7,0.0010702882000625214,-0.04537244725155648,8857,0.001070588907579874,2.8088047169510995e-4,1146548.3517024447,114077348.38063265,8851.826570059859,-0.10950218520229313,0.018757290699180154,0.032719854944358695,"0.96 	(0.90, 1.02)",0.896280205806408,1.0189343137685118,W1
casteSchedule Caste,Conditional,2.1404339542564296e-7,0.0015240616448659225,0.011262847106615886,8857,0.0015242970926008907,1.5446315295823698e-4,3782677.9223091593,377218269.4124716,8853.425108476182,-0.06525855218343146,0.08778424639666324,0.03904224753521358,"1.01 	(0.94, 1.09)",0.9368252138571453,1.0917525470700558,W1
casteSchedule Tribe,Conditional,3.821111595928482e-7,0.0027499017859019576,0.012845758320829959,8857,0.00275032210817751,1.528265632241374e-4,3864013.95514616,385340641.368579,8853.443979753762,-0.08994163968388648,0.11563315632554638,0.05244351349955025,"1.01 	(0.91, 1.12)",0.9139845241405281,1.1225839837550673,W1
factor(state)10,Conditional,1.0313053659136632e-6,0.009204103022183703,0.22405809808917634,8857,0.009205237458086208,1.2323809219158175e-4,5939028.805975206,592587622.9715159,8853.777118664637,0.036011452880064326,0.4121047432982884,0.09594392871925878,"1.25 	(1.04, 1.51)",1.0366677192539901,1.509992589650081,W1
factor(state)11,Conditional,1.4889683089597778e-6,0.014540002972452134,0.44221521857080204,8857,0.01454164083759199,1.1263275982045067e-4,7108747.626414569,709435730.9641694,8853.89281439156,0.20586565827177722,0.6785647788698268,0.1205887259970516,"1.56 	(1.23, 1.97)",1.228588142253916,1.9710468131841299,W1
factor(state)12,Conditional,1.498521039673374e-6,0.011594508693472685,0.27079757080358235,8857,0.011596157066616326,1.4214822498275238e-4,4465500.400748787,445409655.62002057,8853.565965598114,0.059737958153959214,0.48185718345320544,0.10768545429451615,"1.31 	(1.06, 1.62)",1.0615583373893216,1.6190785375835932,W1
factor(state)13,Conditional,1.137576885090217e-6,0.018161133955362355,0.22798858279596873,8857,0.018162385289935953,6.889703932735211e-5,18983654.10542438,1896013346.8322434,8854.02807203948,-0.03615163615212785,0.4921288017440653,0.1347678941363111,"1.26 	(0.96, 1.64)",0.9644940302305104,1.6357947988600212,W1
factor(state)14,Conditional,3.4047301724712633e-6,0.013101723571082344,-0.006897060549342722,8857,0.013105468774272062,2.8577407296340044e-4,1107714.8404630101,110203873.66927433,8851.759102411123,-0.23127201398246033,0.2174778928837749,0.11447911938109963,"0.99 	(0.79, 1.24)",0.7935235871644174,1.2429379514302488,W1
factor(state)15,Conditional,1.1930325515612335e-6,0.02876734373452011,-0.24483595890525942,8857,0.028768656070326828,4.561686175083284e-5,43286077.066860236,4325055659.2966795,8854.02807203948,-0.5772718289354457,0.0875999111249269,0.16961325440639016,"0.78 	(0.56, 1.09)",0.5614279506229264,1.091551317115082,W1
