term,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
h_dm at w_ge40=0,2.5378520147582826e-6,0.014464386864582455,1.0688662286399129,8875,0.01446717850179869,1.9296348737848432e-4,2425489.37139098,241708671.07329938,8870.962925037647,0.8331225733215157,1.30460988395831,0.12027958472574925,"2.91 	(2.30, 3.69)",2.3004909882877027,3.686250747611981,W2
h_dm at w_ge40=1,2.1654001908033202e-6,0.010693574602373229,0.5271203323160798,8875,0.010695956542583112,2.226953896456656e-4,1822045.3899879516,181476358.92646813,8870.59108249463,0.3244183906521074,0.7298222739800522,0.10342125769194219,"1.69 	(1.38, 2.07)",1.3832259148615347,2.0747118446270147,W2
Interaction of h_dm:w_ge40,4.889996882114195e-7,0.02134760822316492,-0.5417458963238331,8875,0.021348146122821952,2.5196551210483186e-5,141826457.36652634,14176215556.310394,8872.025916182749,-0.8281163281826148,-0.2553754644650513,0.14611004798720023,"0.58 	(0.44, 0.77)",0.4368714341584287,0.7746255989672495,W2
w_dm at h_ge40=0,7.529504126102306e-7,0.021393822511733402,1.338687566424757,8875,0.021394650757187272,3.871273540620965e-5,60094865.47457065,6005301149.037551,8872.025916182749,1.0520053906621252,1.625369742187389,0.14626910390505327,"3.81 	(2.86, 5.08)",2.8633875749269797,5.080297090119671,H2
w_dm at h_ge40=1,4.044369629343561e-6,0.006389406736671961,0.5334690583664803,8875,0.006393855543264239,6.957940419790405e-4,188236.2964913537,18590073.130895592,8862.59973890132,0.37674721568571923,0.6901909010472413,0.07996158792360392,"1.70 	(1.46, 1.99)",1.4575358206061466,1.9940961719572883,H2
Interaction of w_dm:h_ge40,3.3257861490223914e-6,0.02570987875606847,-0.8052185080582769,8875,0.025713537120832394,1.4227388269195859e-4,4457626.004842486,444623222.5844308,8871.56126189441,-1.1195073791973242,-0.49092963691922964,0.16035441098027953,"0.45 	(0.33, 0.61)",0.32644056643388153,0.6120571387121365,H2
h_dm at w_education_2=0,1.5605442581252334e-6,0.02115821701928073,0.7970599766565871,8873,0.021159933617964668,8.112495601027662e-5,13695172.522851354,1367519603.8664112,8870.02615575766,0.5119547087538,1.0821652445593744,0.14546454419536284,"2.22 	(1.67, 2.95)",1.668549537740385,2.9510624101743277,W3 E2
h_dm at w_education_2=1,1.2842649819335523e-6,0.043873408932274253,0.5180347736907861,8873,0.04387482162375438,3.2198227316827626e-5,86862085.43060634,8681176481.173702,8870.02615575766,0.10749449481433948,0.9285750525672327,0.20946317486315913,"1.68 	(1.11, 2.53)",1.1134847307894897,2.530900207179124,W3 E2
Interaction of h_dm:w_education_2,2.358721896678076e-6,0.06066198732154583,-0.279025202965801,8873,0.060664581915632176,4.2769504122755744e-5,49238901.69852197,4920101695.276866,8870.02615575766,-0.76176788123051,0.20371747529890782,0.24630181062191195,"0.76 	(0.47, 1.23)",0.4668403787042508,1.2259517428740327,W3 E2
w_dm at h_education_2=0,1.1207165411632551e-6,0.06263241705545669,0.2903171230339642,8873,0.06263364984365197,1.9682522068519148e-5,232399326.91329142,23231701309.802185,8870.02615575766,-0.20019749111044122,0.7808317371783695,0.250267156941641,"1.34 	(0.82, 2.18)",0.8185690769977239,2.183287431851026,H3 E2
w_dm at h_education_2=1,4.004422111780077e-6,0.030436580926726818,0.8100398352599247,8873,0.030440985791049775,1.4470176337893757e-4,4309484.306429262,429828157.58059317,8869.533999310182,0.46807815021870663,1.152001520301143,0.17447345296935513,"2.25 	(1.60, 3.16)",1.5969221976296153,3.1645204271283616,H3 E2
Interaction of w_dm:h_education_2,6.114168072787171e-6,0.09301801430220341,0.5197227122259607,8873,0.09302473988708347,7.229888401977396e-5,17240280.212728985,1721786593.7863803,8870.02615575766,-0.07806546772110656,1.117510892173028,0.30499957358508467,"1.68 	(0.92, 3.06)",0.9249038732125947,3.057234937228319,H3 E2
h_dm at w_education_3=0,1.5605442581252334e-6,0.02115821701928073,0.7970599766565871,8873,0.021159933617964668,8.112495601027662e-5,13695172.522851354,1367519603.8664112,8870.02615575766,0.5119547087538,1.0821652445593744,0.14546454419536284,"2.22 	(1.67, 2.95)",1.668549537740385,2.9510624101743277,W3 E3
h_dm at w_education_3=1,2.360198499978357e-6,0.013888296640676765,0.6931392795977229,8873,0.01389089285902674,1.8690075406413407e-4,2585117.182081292,257644219.0294256,8869.037364703543,0.4621386445293574,0.9241399146660885,0.11785963201633858,"2.00 	(1.59, 2.52)",1.5874653813595985,2.519700170957958,W3 E3
