iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
(Intercept),Conditional,1.9669052745051438e-4,0.12283993421723462,-7.142309518000254,8857,0.12305629379743019,0.0017582162888127232,30042.412433715457,2911373.4086725474,8812.674870315379,-7.829853028114926,-6.454766007885582,0.35079380524380727,"0.00 	(0.00, 0.00)",3.976839243506291e-4,0.0015730073097800956,W1
casteOBC,Conditional,9.347595849867078e-7,0.008338341707744177,-0.04999751492652378,8857,0.008339369943287663,1.232989482992061e-4,5933174.145317631,592002805.7117429,8853.776449122324,-0.22898172193560046,0.12898669208255287,0.09132015080631253,"0.95 	(0.80, 1.14)",0.7953430707041037,1.1376749839802212,W1
casteSchedule Caste,Conditional,5.194140738090488e-7,0.013757598288731363,0.10207801185771154,8857,0.013758169644212552,4.152845152845586e-5,52224659.05913928,5218564236.858671,8854.02807203948,-0.12781640338738,0.33197242710280306,0.11729522430266524,"1.11 	(0.88, 1.39)",0.8800149320744886,1.3937144192383122,W1
casteSchedule Tribe,Conditional,9.71468738739392e-7,0.022990798921149552,-0.26962740384875183,8857,0.022991867536762165,4.6477982308514094e-5,41697616.739220366,4166275423.564316,8854.02807203948,-0.5668181042494269,0.02756329655192319,0.1516306945732366,"0.76 	(0.57, 1.03)",0.5673277475485934,1.0279466785283975,W1
factor(state)10,Conditional,2.282522050426401e-6,0.03530815481086418,0.027249857278685508,8857,0.03531066558511965,7.110526561490566e-5,17823568.384481125,1780077797.1656249,8854.02807203948,-0.3410495697653996,0.39554928432277053,0.18791132372776168,"1.03 	(0.71, 1.49)",0.7110236620567236,1.4851997638561634,W1
factor(state)11,Conditional,4.4607870776506816e-6,0.1972233081222784,0.21627052157004248,8857,0.1972282149880638,2.4879126882087902e-5,145467744.57767844,14540262246.240025,8854.02807203948,-0.6541569976880466,1.0866980408281315,0.4441038335660522,"1.24 	(0.52, 2.96)",0.5198801380701141,2.9644693373355846,W1
factor(state)12,Conditional,4.459955246401972e-6,0.05864116137477097,-0.09912079142314727,8857,0.05864606732554201,8.365353372817703e-5,12880348.849158831,1286097596.9591937,8854.02807203948,-0.5737642924328686,0.37552270958657413,0.24216950122908132,"0.91 	(0.56, 1.46)",0.5634006372660421,1.4557521513838845,W1
factor(state)13,Conditional,3.826229665762096e-6,0.14662416270180761,-0.5363860686690365,8857,0.14662837155443995,2.8704217251540916e-5,109288748.60840084,10923230361.846964,8854.02807203948,-1.286897128811821,0.21412499147374764,0.3829208424132068,"0.58 	(0.28, 1.24)",0.2761262393705248,1.2387774817403148,W1
factor(state)14,Conditional,7.947847867659986e-6,0.1253078479082218,-0.8665440813647314,8857,0.12531659054087624,6.976436732512507e-5,18514858.068250585,1849162975.4938638,8854.02807203948,-1.5603729671447624,-0.1727151955847005,0.3540008340963002,"0.42 	(0.21, 0.84)",0.21005771196389617,0.8413772086682754,W1
factor(state)15,Conditional,3.772769846076642e-6,0.12490517216752463,-0.15223279386303604,8857,0.12490932221435531,3.3224476421082997e-5,81580414.00476687,8153164748.137915,8854.02807203948,-0.8449333191621913,0.5404677314361193,0.3534251295739386,"0.86 	(0.43, 1.72)",0.42958600241027056,1.7168096802758919,W1
factor(state)16,Conditional,1.6756729248600525e-5,0.1317918155874494,-0.14887063568877767,8857,0.13181024798962288,1.3984043315745618e-4,4613913.792154789,460232186.984622,8853.592068214175,-0.8604489113977002,0.5627076400201447,0.3630568109671307,"0.86 	(0.42, 1.76)",0.422972162667659,1.7554191143812885,W1
